id,timestamp,x,y,tag,name,rank
6030752879,45:08.0,-122.9519979,38.2203506,5650,Heron and Egret,1
6030752880,50:08.0,-122.9392216,38.2171289,5650,Heron and Egret,2
6030752881,55:06.0,-122.9347801,38.2172349,5650,Heron and Egret,3
6030752882,00:06.0,-122.9347913,38.2172419,5650,Heron and Egret,4
6030752883,05:07.0,-122.9348089,38.2172626,5650,Heron and Egret,5
6030752884,10:06.0,-122.93476,38.2172595,5650,Heron and Egret,6
6030752885,15:06.0,-122.9347516,38.2172196,5650,Heron and Egret,7
6030752886,20:08.0,-122.9347884,38.2172584,5650,Heron and Egret,8
6030752887,25:08.0,-122.9347148,38.2171785,5650,Heron and Egret,9
6030752888,30:09.0,-122.934786,38.2172586,5650,Heron and Egret,10
6030752889,30:21.0,-122.9348137,38.2172927,5650,Heron and Egret,11
6030752890,55:53.0,-122.9347279,38.2172049,5650,Heron and Egret,12
6030752891,59:08.0,-122.9347068,38.2171849,5650,Heron and Egret,13
6030752892,09:53.0,-122.9349212,38.217466,5650,Heron and Egret,14
6030752893,10:07.0,-122.934892,38.2174337,5650,Heron and Egret,15
6030752894,15:08.0,-122.9348893,38.2174035,5650,Heron and Egret,16
6030752895,20:08.0,-122.9348955,38.2174031,5650,Heron and Egret,17
6030752896,25:08.0,-122.9348975,38.2173866,5650,Heron and Egret,18
6030752897,30:08.0,-122.9348875,38.2174018,5650,Heron and Egret,19
6030752898,35:06.0,-122.9349127,38.2173646,5650,Heron and Egret,20
6030752899,40:06.0,-122.9349178,38.2174031,5650,Heron and Egret,21
6030752900,45:06.0,-122.9349076,38.2174006,5650,Heron and Egret,22
6030752901,50:06.0,-122.9349232,38.2173751,5650,Heron and Egret,23
6030752902,55:08.0,-122.9349061,38.2173989,5650,Heron and Egret,24
6030752903,00:08.0,-122.9348893,38.217414,5650,Heron and Egret,25
6030752904,05:08.0,-122.934898,38.217389,5650,Heron and Egret,26
6030752905,10:06.0,-122.9348943,38.2174401,5650,Heron and Egret,27
6030752906,15:08.0,-122.9349085,38.2174857,5650,Heron and Egret,28
6030752907,20:06.0,-122.9349106,38.2174394,5650,Heron and Egret,29
6030752908,25:08.0,-122.9348877,38.2175047,5650,Heron and Egret,30
6030752909,30:08.0,-122.9348789,38.2174121,5650,Heron and Egret,31
6030752910,35:08.0,-122.9233664,38.2176626,5650,Heron and Egret,32
6030752911,40:09.0,-122.923429,38.2176547,5650,Heron and Egret,33
6030752912,45:08.0,-122.9234201,38.2176543,5650,Heron and Egret,34
6030752913,50:08.0,-122.9234469,38.2176897,5650,Heron and Egret,35
6030752914,55:08.0,-122.9234231,38.2176393,5650,Heron and Egret,36
6030752915,00:17.0,-122.9234868,38.2176588,5650,Heron and Egret,37
6030752916,05:08.0,-122.9234197,38.2176766,5650,Heron and Egret,38
6030752917,10:18.0,-122.9233666,38.2176858,5650,Heron and Egret,39
6030752918,15:08.0,-122.923497,38.2177026,5650,Heron and Egret,40
6030752919,20:12.0,-122.9233707,38.2176321,5650,Heron and Egret,41
6030752920,25:08.0,-122.9233542,38.2176008,5650,Heron and Egret,42
6030752921,30:24.0,-122.9235812,38.2175747,5650,Heron and Egret,43
6030752922,35:09.0,-122.9232096,38.2175125,5650,Heron and Egret,44
6030752923,40:11.0,-122.9232732,38.2175429,5650,Heron and Egret,45
6030752924,45:07.0,-122.9231105,38.2174943,5650,Heron and Egret,46
6030752926,55:19.0,-122.9235012,38.2176914,5650,Heron and Egret,47
6030752927,00:08.0,-122.9234717,38.2176463,5650,Heron and Egret,48
6030752928,05:15.0,-122.9234053,38.217731,5650,Heron and Egret,49
6030752929,10:09.0,-122.9234556,38.2176181,5650,Heron and Egret,50
6030752930,15:13.0,-122.9235529,38.2176894,5650,Heron and Egret,51
6030752931,20:13.0,-122.9235428,38.2176659,5650,Heron and Egret,52
6030752932,25:08.0,-122.9235534,38.2177003,5650,Heron and Egret,53
6030752933,30:08.0,-122.923502,38.2176185,5650,Heron and Egret,54
6030752934,35:09.0,-122.9234829,38.2176597,5650,Heron and Egret,55
6030752935,40:15.0,-122.9234919,38.2176344,5650,Heron and Egret,56
6030752936,45:22.0,-122.923518,38.2176512,5650,Heron and Egret,57
6030752937,50:24.0,-122.9234764,38.2176719,5650,Heron and Egret,58
6030752938,55:15.0,-122.9234734,38.2175542,5650,Heron and Egret,59
6030752939,00:12.0,-122.9234799,38.2176449,5650,Heron and Egret,60
6030752940,05:23.0,-122.9231775,38.2175545,5650,Heron and Egret,61
6030752941,10:09.0,-122.9233828,38.2176388,5650,Heron and Egret,62
6030752942,15:10.0,-122.9229883,38.2175517,5650,Heron and Egret,63
6030752943,20:08.0,-122.9233459,38.217602,5650,Heron and Egret,64
6030752944,25:09.0,-122.9228312,38.217594,5650,Heron and Egret,65
6030752945,30:20.0,-122.9234785,38.2176261,5650,Heron and Egret,66
6030752946,35:09.0,-122.9234039,38.2176569,5650,Heron and Egret,67
6030752947,40:13.0,-122.923467,38.2176813,5650,Heron and Egret,68
6030752948,45:13.0,-122.9233276,38.2176837,5650,Heron and Egret,69
6030752949,50:13.0,-122.9234816,38.2177883,5650,Heron and Egret,70
6030752950,55:07.0,-122.9233893,38.2175525,5650,Heron and Egret,71
6030752951,00:11.0,-122.9234332,38.2177528,5650,Heron and Egret,72
6030752952,05:13.0,-122.923414,38.2177455,5650,Heron and Egret,73
6030752953,10:15.0,-122.9233887,38.217685,5650,Heron and Egret,74
6030752954,15:15.0,-122.923467,38.2177633,5650,Heron and Egret,75
6030752955,20:15.0,-122.9234001,38.2176504,5650,Heron and Egret,76
6030752956,25:14.0,-122.9232826,38.217436,5650,Heron and Egret,77
6030752957,30:10.0,-122.9233761,38.2176631,5650,Heron and Egret,78
6030752958,35:17.0,-122.923498,38.2177644,5650,Heron and Egret,79
6030752959,40:13.0,-122.9233813,38.2175126,5650,Heron and Egret,80
6030752960,45:13.0,-122.9234161,38.2176286,5650,Heron and Egret,81
6030752961,50:13.0,-122.9235432,38.2178137,5650,Heron and Egret,82
6030752962,55:19.0,-122.9235874,38.217983,5650,Heron and Egret,83
6030752963,00:12.0,-122.9233689,38.2176145,5650,Heron and Egret,84
6030752964,05:28.0,-122.9233896,38.2176003,5650,Heron and Egret,85
6030752965,10:23.0,-122.9233741,38.2176381,5650,Heron and Egret,86
6030752966,15:20.0,-122.9234098,38.217602,5650,Heron and Egret,87
6030752967,20:17.0,-122.9234949,38.2176643,5650,Heron and Egret,88
6030752968,25:15.0,-122.923418,38.217667,5650,Heron and Egret,89
6030752969,30:08.0,-122.9234015,38.2176898,5650,Heron and Egret,90
6030752970,35:08.0,-122.92342,38.217642,5650,Heron and Egret,91
6030752971,40:13.0,-122.9233795,38.2176627,5650,Heron and Egret,92
6030752972,45:12.0,-122.9234174,38.2176244,5650,Heron and Egret,93
6030752973,50:16.0,-122.9233341,38.2177052,5650,Heron and Egret,94
6030752974,55:09.0,-122.9234826,38.2176122,5650,Heron and Egret,95
6030752975,00:18.0,-122.923483,38.2176517,5650,Heron and Egret,96
6030752976,05:28.0,-122.9234415,38.2176205,5650,Heron and Egret,97
6030752977,10:23.0,-122.9234082,38.2176592,5650,Heron and Egret,98
6030752978,15:17.0,-122.92345,38.2176775,5650,Heron and Egret,99
6030752979,20:13.0,-122.9234905,38.2177162,5650,Heron and Egret,100
6030752980,25:11.0,-122.9233749,38.2176289,5650,Heron and Egret,101
6030752981,30:09.0,-122.9234272,38.2176394,5650,Heron and Egret,102
6030752982,35:16.0,-122.9234985,38.2177185,5650,Heron and Egret,103
6030752983,40:19.0,-122.9231357,38.2175741,5650,Heron and Egret,104
6030752984,45:16.0,-122.9234965,38.2177019,5650,Heron and Egret,105
6030752985,50:28.0,-122.9233605,38.2176238,5650,Heron and Egret,106
6030752986,55:35.0,-122.9234155,38.2176059,5650,Heron and Egret,107
6030752987,00:17.0,-122.9234486,38.2175974,5650,Heron and Egret,108
6030752988,05:18.0,-122.9233953,38.217658,5650,Heron and Egret,109
6030752989,10:23.0,-122.9232934,38.2177031,5650,Heron and Egret,110
6030752990,15:13.0,-122.9234915,38.2176503,5650,Heron and Egret,111
6030752991,20:19.0,-122.9234517,38.2176778,5650,Heron and Egret,112
6030752992,25:13.0,-122.9234954,38.217708,5650,Heron and Egret,113
6030752993,30:10.0,-122.9234243,38.2176625,5650,Heron and Egret,114
6030752994,35:10.0,-122.9235077,38.2176995,5650,Heron and Egret,115
6030752995,40:11.0,-122.9234792,38.2176594,5650,Heron and Egret,116
6030752996,45:20.0,-122.9234246,38.2177783,5650,Heron and Egret,117
6030752997,50:10.0,-122.9234613,38.2176268,5650,Heron and Egret,118
6030752998,55:11.0,-122.9235704,38.2177936,5650,Heron and Egret,119
6030752999,00:12.0,-122.9234501,38.2176693,5650,Heron and Egret,120
