Name,Start,End,,Missing stars
Cygnus,7,14,,Dorado
Cygnus,14,4,,Eridanus
Cygnus,4,6,,Gemini
Cygnus,4,5,,Hydra
Cygnus,4,3,,Lacerta
Cygnus,6,11,,Leo Minor
Cygnus,11,13,,Lynx
Cygnus,11,16,,Monoceros
Cygnus,16,3,,
Cygnus,3,15,,
Cygnus,15,8,,
Cygnus,8,5,,
Delphinus,4,1,,
Delphinus,1,2,,
Delphinus,2,3,,
Delphinus,3,5,,
Delphinus,5,1,,
Dorado,4,2,,
Dorado,2,6,,
Dorado,6,3,,
Dorado,2,3,,
Dorado,3,5,,
Draco,2,4,,
Draco,4,19,,
Draco,19,10,,
Draco,10,2,,
Draco,10,5,,
Draco,5,12,,
Draco,5,15,,
Draco,15,8,,
Draco,15,6,,
Draco,6,3,,
Draco,3,14,,
Draco,14,7,,
Draco,7,9,,
Draco,9,11,,
Draco,11,13,,
Equuleus,1,2,,
Equuleus,2,3,,
Eridanus,1,7,,
Eridanus,7,18,,
Eridanus,18,16,,
Eridanus,16,4,,
Eridanus,23,24,,
Eridanus,24,25,,
Eridanus,25,17,,
Eridanus,17,19,,
Eridanus,19,6,,
Eridanus,6,15,,
Eridanus,15,26,,
Eridanus,26,22,,
Eridanus,10,27,,
Eridanus,27,8,,
Eridanus,8,5,,
Eridanus,5,20,,
Eridanus,20,3,,
Eridanus,3,21,,
Eridanus,21,12,,
Eridanus,12,13,,
Eridanus,13,2,,
Fornax,1,4,,
Fornax,4,3,,
Fornax,3,2,,
Fornax,2,1,,
Gemini,9,12,,
Gemini,12,10,,
Gemini,10,14,,
Gemini,14,4,,
Gemini,10,15,,
Gemini,15,11,,
Gemini,15,2,,
Gemini,15,7,,
Gemini,7,18,,
Gemini,18,13,,
Gemini,18,17,,
Gemini,17,3,,
Gemini,18,6,,
Gemini,6,5,,
Gemini,5,8,,
Gemini,6,16,,
Grus,7,4,,
Grus,4,2,,
Grus,2,5,,
Grus,5,9,,
Grus,9,6,,
Grus,6,1,,
Grus,1,11,,
Grus,11,10,,
Grus,10,3,,
Hercules,12,14,,
Hercules,14,17,,
Hercules,17,6,,
Hercules,6,9,,
Hercules,9,18,,
Hercules,18,15,,
Hercules,15,19,,
Hercules,19,22,,
Hercules,9,4,,
Hercules,4,3,,
Hercules,3,11,,
Hercules,11,21,,
Hercules,4,16,,
Hercules,16,5,,
Hercules,5,20,,
Hercules,20,7,,
Hercules,7,10,,
Hercules,10,13,,
Hercules,16,6,,
Horologium,1,2,,
Horologium,2,7,,
Horologium,7,6,,
Horologium,6,5,,
Horologium,5,4,,
Horologium,4,3,,
Hydra,8,5,,
Hydra,5,17,,
Hydra,17,10,,
Hydra,7,12,,
Hydra,12,11,,
Hydra,11,13,,
Hydra,13,15,,
Hydra,15,4,,
Hydra,4,14,,
Hydra,6,9,,
Hydra,9,16,,
Hydra,16,19,,
Hydra,19,18,,
Hydra,18,9,,
Hydrus,3,1,,
Hydrus,1,5,,
Hydrus,5,4,,
Hydrus,4,6,,
Hydrus,6,2,,
Indus,1,4,,
Indus,4,3,,
Indus,3,2,,
Indus,2,5,,
Indus,5,1,,
Lacerta,2,1,,
Lacerta,1,6,,
Lacerta,6,4,,
Lacerta,4,5,,
Leo,8,9,,
Leo,9,11,,
Leo,11,17,,
Leo,17,18,,
Leo,11,15,,
Leo,9,7,,
Leo,7,12,,
Leo,12,16,,
Leo,16,20,,
Leo,20,19,,
Leo,19,10,,
Leo,10,16,,
Leo,10,13,,
Leo,13,7,,
Leo,13,6,,
Leo,13,14,,
Leo,13,11,,
Leo Minor,1,2,,
Leo Minor,2,3,,
Leo Minor,3,4,,
Lepus,11,5,,
Lepus,12,5,,
Lepus,5,4,,
Lepus,4,3,,
Lepus,3,8,,
Lepus,8,10,,
Lepus,10,6,,
Lepus,6,9,,
Lepus,9,7,,
Lepus,7,2,,
Lepus,10,2,,
Lepus,2,3,,
Lepus,2,5,,
Libra,5,4,,
Libra,4,6,,
Libra,6,1,,
Libra,1,2,,
Lupus,1,6,,
Lupus,6,7,,
Lupus,7,11,,
Lupus,11,9,,
Lupus,9,7,,
Lupus,7,3,,
Lupus,3,4,,
Lupus,4,2,,
Lupus,3,5,,
Lupus,5,6,,
Lynx,1,2,,
Lyra,4,6,,
Lyra,6,9,,
Lyra,9,3,,
Lyra,3,10,,
Lyra,10,9,,
Lyra,9,5,,
Lyra,5,4,,
Mensa,1,3,,
Mensa,3,4,,
Mensa,4,2,,
Microscopium,1,2,,
Microscopium,2,3,,
Microscopium,3,5,,
Microscopium,5,4,,
Microscopium,4,1,,
Monoceros,2,5,,
Monoceros,5,4,,
Monoceros,4,6,,
Monoceros,6,3,,
Musca,4,6,,
Musca,6,1,,
Musca,1,5,,
Musca,5,3,,
Musca,3,2,,
Musca,2,1,,
Norma,2,5,,
Norma,5,4,,
Norma,4,7,,
Norma,7,1,,
Norma,1,2,,
Octans,4,2,,
Octans,2,5,,
Octans,5,1,,
Octans,1,3,,
Octans,3,2,,
Ophiuchus,16,17,,
Ophiuchus,17,12,,
Ophiuchus,12,8,,
Ophiuchus,8,13,,
Ophiuchus,13,18,,
Ophiuchus,18,11,,
Ophiuchus,11,14,,
Ophiuchus,14,10,,
Ophiuchus,10,9,,
Ophiuchus,9,12,,
Orion,25,23,,
Orion,23,19,,
Orion,19,22,,
Orion,22,21,,
Orion,19,4,,
Orion,4,14,,
Orion,14,6,,
Orion,6,12,,
Orion,12,20,,
Orion,20,18,,
Orion,12,15,,
Orion,15,17,,
Orion,17,27,,
Orion,6,10,,
Orion,10,13,,
Orion,13,5,,
Orion,5,9,,
Orion,9,8,,
Orion,8,7,,
Orion,7,10,,
Orion,8,4,,
