Name,Designation
Acrux,Alpha Crucis
Ain,Epsilon Tauri
Ain al Rami,Nu-1 Sagittarii
Akhfa al Farkadain,Zeta Ursae Minoris
Al Sharas,Beta Crateris
Al Thalimain,Iota Aquilae
Albaldah,Pi Sagittarii
Albireo,Beta Cygni
Aldhanab,Gamma Gruis
Algenib,Gamma Pegasi
Algiebra,Gamma Leonis
Algiedi Prima,Alpha-1 Capricorni
Algiedi Secunda,Alpha-2 Capricorni
Alhakim,Iota Centauri
Alkurhah,Xi Cephei
Alnitak,Zeta Orionis
Alniyat,Sigma Scorpii
Altarf,Beta Cancri
Alzirr,Xi Geminorum
Asellus Secondus,Iota Boötis
Atia,Omicron Herculis
Atik,Omicron Persei
Aula Australis,Xi Ursae Majoris
Aula Borealis,Nu Ursae Majoris
Batentaban Borealis,Chi Draconis
Bezek,Eta Aquilae
Canopis,Canopus
Castor,Alpha Geminorum
Decrux,Delta Crucis
Deneb el Okab Australis,Zeta Aquilae
Deneb el Okab Borealis,Epsilon Aquilae
Dheneb Algenubi,Eta Ceti
Elnath,Beta Tauri
Gamma Ophichi,Gamma Ophiuchi
Ghusn al Zaitun,Delta Columbae
Gorgonea Quata,Omega Persei
Gruid,Beta Gruis
Hadar,Beta Centauri
Hadir,Sigma Puppis
Haedus,Eta Aurigae
Herschel's Garnet Star,Mu Cephei
Hyadum I,Gamma Tauri
Ionnina,Alpha Scuti
Jabbah,Nu Scorpii
Kajam,Omega Herculis
Kallat Nunu,Eta Piscium
Kappa Ophichi,Kappa Ophichi
Ke Kwan,Kappa Centauri
Kocab,Beta Ursae Minoris
Kuma,Nu Draconis
Labrum,Delta Crateris
Ma Wei,Delta Centauri
Marfak,Theta Cassiopeiae
Marfak Al Jathih Aisr,Mu Herculis
Marfik,Kappa Herculis
Markab,Alpha Pegasi
Markeb,Kappa Velorum
Meissa,Lambda Orionis
Men,Alpha Lupi
Menkar,Alpha Ceti
Menkib,Xi Persei
Minkar,Epsilon Corvi
Mintaka,Delta Orionis
Misam,Kappa Persei
Muscida,Omicron Ursae Majoris
Nadlat,Psi Boötis
Nair al Saif,Iota Orionis
Navi,Gamma Cassiopeiae
Neshmet,Mu Leporis
Omega Algiedi,Omega Capricorni
Pherkad,Gamma Ursae Minoris
Praecipua,46 Leonis Minoris
Prijipati,Delta Aurigae
Propus,Eta Geminorum
Rana,Delta Eridani
Rastaban,Beta Draconis
Rigel Kentaurus,Alpha Centauri
Ruchba,Omega-2 Cygni
Ruchbah,Delta Cassiopeiae
Rukh,Delta Cygni
Sadalpheris,Lambda Pegasi
Sadira,Epsilon Eridani
Sadr,Gamma Cygni
Sasin,Epsilon Leporis
Scheat,Beta Pegasi
Segin,Epsilon Cassiopeiae
Sephdar,Eta Sagittarii
Sham,Alpha Sagittae
Shedar,Alpha Cassiopeiae
Sirius,Alpha Canis Majoris
Sophian,Eta Herculis
Suhail,Lambda Velorum
Suhail al Muhlif,Gamma Velorum
Talitha,Iota Ursae Majoris
Tegmen,Zeta Cancri
The Persian,Alpha Indi
Theemim,Upsilon-2 Eridani
Theta Ophichi,Theta Ophiuchi
Theya Ceti,Theta Ceti
Theya Lyrae,Theta Lyrae
Tseen Kee,Phi Velorum
Wasat,Delta Geminorum
Zaurak,Gamma Eridani
Zuben Elakrab,Gamma Librae
Zuben Elgenubi,Alpha Librae
Zuben Elschemali,Beta Librae
