Name,Start,End
Pavo,1,8
Pavo,8,2
Pavo,2,3
Pavo,1,3
Pavo,3,6
Pavo,6,11
Pavo,11,9
Pavo,9,4
Pavo,9,10
Pavo,10,3
Pavo,3,5
Pavo,3,7
Pegasus,3,6
Pegasus,6,13
Pegasus,3,8
Pegasus,8,11
Pegasus,11,10
Pegasus,10,12
Pegasus,3,4
Pegasus,4,7
Pegasus,7,9
Pegasus,9,2
Pegasus,5,4
Pegasus,,
Pegasus,,
Perseus,19,17
Perseus,17,8
Perseus,8,3
Perseus,3,7
Perseus,7,11
Perseus,11,14
Perseus,14,16
Perseus,16,18
Perseus,3,16
Perseus,16,12
Perseus,12,4
Perseus,4,9
Perseus,4,6
Perseus,6,15
Perseus,15,5
Perseus,5,13
Perseus,8,6
Phoenix,9,5
Phoenix,5,3
Phoenix,3,13
Phoenix,13,2
Phoenix,2,7
Phoenix,7,8
Phoenix,8,4
Phoenix,6,4
Phoenix,1,6
Phoenix,2,1
Phoenix,4,11
Phoenix,2,1
Phoenix,1,6
Phoenix,6,4
Phoenix,,
Phoenix,,
Pictor,2,3
Pictor,1,3
Pisces,3,8
Pisces,8,6
Pisces,6,12
Pisces,12,20
Pisces,20,3
Pisces,5,6
Pisces,10,5
Pisces,9,10
Pisces,19,9
Pisces,11,19
Pisces,15,11
Pisces,4,15
Pisces,7,4
Pisces,7,2
Pisces,2,17
Pisces,17,13
Pisces,13,18
Pisces,18,17
Piscis Austrinus,1,2
Piscis Austrinus,2,8
Piscis Austrinus,8,7
Piscis Austrinus,7,10
Piscis Austrinus,10,5
Piscis Austrinus,5,7
Piscis Austrinus,7,4
Piscis Austrinus,4,6
Piscis Austrinus,6,3
Piscis Austrinus,3,1
Puppis,5,8
Puppis,8,7
Puppis,7,9
Puppis,9,4
Puppis,4,5
Puppis,,
Puppis,,
Puppis,,
Puppis,,
Pyxis,3,1
Pyxis,1,2
Reticulum,3,7
Reticulum,7,5
Reticulum,5,4
Reticulum,4,2
Reticulum,2,1
Reticulum,1,2
Sagitta,2,3
Sagitta,3,4
Sagitta,3,5
Sagittarius,27,20
Sagittarius,20,19
Sagittarius,19,22
Sagittarius,22,16
Sagittarius,16,23
Sagittarius,16,19
Sagittarius,24,19
Sagittarius,18,16
Sagittarius,20,24
Sagittarius,18,24
Sagittarius,25,18
Sagittarius,25,17
Sagittarius,17,24
Sagittarius,17,35
Sagittarius,35,26
Sagittarius,26,21
Sagittarius,21,28
Sagittarius,34,25
Sagittarius,33,34
Sagittarius,31,33
Sagittarius,30,31
Sagittarius,31,29
Scorpius,12,6
Scorpius,6,10
Scorpius,10,16
Scorpius,16,7
Scorpius,7,18
Scorpius,18,23
Scorpius,23,17
Scorpius,17,9
Scorpius,9,13
Scorpius,13,5
Scorpius,5,14
Scorpius,14,8
Scorpius,8,11
Scorpius,11,21
Scorpius,8,15
Scorpius,15,20
Sculptor,1,4
Sculptor,4,3
Sculptor,3,2
Sculptor,2,5
Sculptor,1,5
Scutum,4,3
Scutum,3,6
Scutum,6,5
Scutum,5,8
Scutum,8,4
Serpens,15,4
Serpens,4,12
Serpens,12,6
Serpens,8,3
Serpens,3,9
Serpens,9,7
Serpens,7,14
Serpens,14,11
Serpens,11,10
Serpens,10,7
Serpens,,
Taurus,4,14
Taurus,14,8
Taurus,8,11
Taurus,11,9
Taurus,9,7
Taurus,10,16
Taurus,7,15
Taurus,15,13
Taurus,6,3
Taurus,3,12
Taurus,12,9
Taurus,,
Taurus,,
Telescopium,5,6
Telescopium,6,1
Telescopium,1,3
Telescopium,3,2
Telescopium,2,4
Telescopium,4,5
Triangulum,4,2
Triangulum,2,3
Triangulum,3,4
Triangulum Australe,1,2
Triangulum Australe,2,5
Triangulum Australe,5,3
Triangulum Australe,3,1
Tucana,3,4
Tucana,4,2
Tucana,2,1
Tucana,1,6
Tucana,6,5
Tucana,5,3
Ursa Major,10,26
Ursa Major,26,8
Ursa Major,8,17
Ursa Major,17,13
Ursa Major,13,12
Ursa Major,12,9
Ursa Major,17,9
Ursa Major,13,23
Ursa Major,23,20
Ursa Major,20,25
Ursa Major,23,14
Ursa Major,14,21
Ursa Major,21,19
Ursa Major,12,24
Ursa Major,24,18
Ursa Major,24,16
Ursa Major,16,22
Ursa Major,22,15
Ursa Major,,
Ursa Major,,
Ursa Major,,
Ursa Minor,1,6
Ursa Minor,6,4
Ursa Minor,4,5
Ursa Minor,5,2
Ursa Minor,2,3
Ursa Minor,3,7
Ursa Minor,7,5
Vela,7,3
Vela,3,1
Vela,1,2
Vela,2,4
Vela,4,6
Vela,6,5
Vela,,
Vela,,
Virgo,18,20
Virgo,20,15
Virgo,15,13
Virgo,13,19
Virgo,19,17
Virgo,14,16
Virgo,16,13
Virgo,,
Virgo,,
Virgo,,
Virgo,,
Virgo,,
Virgo,,
Virgo,,
Volans,5,1
Volans,1,6
Volans,6,3
Volans,3,2
Volans,2,4
Volans,4,1
Volpecula,3,6
Volpecula,6,4
Volpecula,4,2
Volpecula,2,7
