,Unnamed: 0,Number,Designation,Constellation,Converted,HD
0,0,4,Alpheratz,Andromeda,Alpheratz,358
1,1,5,Mirach,Andromeda,Mirach,6860
2,2,6,Almach,Andromeda,Almach,12533
3,3,7,Delta Andromedae,Andromeda,δ And,3627
4,4,8,Nembus,Andromeda,Nembus,9927
5,5,9,Omicron Andromedae,Andromeda,ο And,217675
6,6,10,Lambda Andromedae,Andromeda,λ And,222107
7,7,11,Mu Andromedae,Andromeda,μ And,5448
8,8,12,Zeta Andromedae,Andromeda,ζ And,4502
9,9,13,Upsilon Andromedae,Andromeda,υ And,9826
10,10,14,Kappa Andromedae,Andromeda,κ And,222439
11,11,15,Phi Andromedae,Andromeda,φ And,6811
12,12,16,Iota Andromedae,Andromeda,ι And,222173
13,13,17,Pi Andromedae,Andromeda,π And,3369
14,14,18,Epsilon Andromedae,Andromeda,ε And,3546
15,15,19,Eta Andromedae,Andromeda,η And,5516
16,16,20,Sigma Andromedae,Andromeda,σ And,1404
17,17,21,Nu Andromedae,Andromeda,ν And,4727
18,18,22,Theta Andromedae,Andromeda,θ And,1280
19,19,23,Adhil,Andromeda,Adhil,8207
20,20,1,Alpha Antilae,Antlia,α Ant,90610
21,21,2,Epsilon Antilae,Antlia,ε Ant,82150
22,22,3,Iota Antilae,Antlia,ι Ant,94890
23,23,4,Theta Antilae,Antlia,θ Ant,84367
24,24,1,Alpha Apodis,Apus,α Aps,129078
25,25,2,Gamma Apodis,Apus,γ Aps,147675
26,26,3,Beta Apodis,Apus,β Aps,149324
27,27,4,Delta-1 Apodis,Apus,δ1 Aps,Manual
28,28,5,Delta-2 Apodis,Apus,δ2 Aps,Manual
29,29,4,Sadalsuud,Aquarius,Sadalsuud,204867
30,30,5,Sadalmelik,Aquarius,Sadalmelik,209750
31,31,6,Skat,Aquarius,Skat,216627
32,32,7,Sadaltager,Aquarius,Sadaltager,213051
33,33,8,Lambda Aquarii,Aquarius,λ Aqr,216386
34,34,9,Albali,Aquarius,Albali,198001
35,35,10,Sadachbia,Aquarius,Sadachbia,212061
36,36,11,Eta Aquarii,Aquarius,η Aqr,213998
37,37,12,Tau-2 Aquarii,Aquarius,τ2 Aqr,216032
38,38,13,Ancha,Aquarius,Ancha,211391
39,39,14,Phi Aquarii,Aquarius,φ Aqr,219215
40,40,15,Iota Aquarii,Aquarius,ι Aqr,209819
41,41,16,Psi-1 Aquarii,Aquarius,ψ1 Aqr,219449
42,42,17,Psi-2 Aquarii,Aquarius,ψ2 Aqr,219688
43,43,18,Omega-2 Aquarii,Aquarius,ω2 Aqr,222661
44,44,19,Nu Aquarii,Aquarius,ν Aqr,201381
45,45,20,Pi Aquarii,Aquarius,π Aqr,212571
46,46,21,Mu Aquarii,Aquarius,μ Aqr,198743
47,47,22,Sigma Aquarii,Aquarius,σ Aqr,213320
48,48,23,Omega-1 Aquarii,Aquarius,ω1 Aqr,222345
49,49,24,Psi-3 Aquarii,Aquarius,ψ3 Aqr,219832
50,50,25,Situla,Aquarius,Situla,214376
51,51,1,Altair,Aquila,Altair,187642
52,52,2,Tarazed,Aquila,Tarazed,186791
53,53,3,Deneb el Okab Australis,Aquila,Deneb el Okab Australis,Manual
54,54,4,Tseen Foo,Aquila,Tseen Foo,191692
55,55,5,Delta Aquilae,Aquila,δ Aql,182640
56,56,6,Lambda Aquilae,Aquila,λ Aql,177756
57,57,7,Alshain,Aquila,Alshain,188512
58,58,8,Bezek,Aquila,Bezek,Manual
59,59,9,Deneb el Okab Borealis,Aquila,Deneb el Okab Borealis,Manual
60,60,10,Al Thalimain,Aquila,Al Thalimain,Manual
61,61,1,Beta Arae,Ara,β Ara,157244
62,62,2,Alpha Arae,Ara,α Ara,158427
63,63,3,Zeta Arae,Ara,ζ Ara,152786
64,64,4,Gamma Arae,Ara,γ Ara,157246
65,65,5,Delta Arae,Ara,δ Ara,158094
