Number,Constellation,HD,Mag,Lon,Lat
4,Andromeda,358.0,2.07,177.90345833333333,29.090833333333332
15,Pegasus,358.0,2.07,177.90345833333333,29.090833333333332
5,Andromeda,6860.0,2.07,162.5675,35.62083333333334
6,Andromeda,12533.0,2.10,149.02533333333332,42.329861111111114
7,Andromeda,3627.0,3.27,170.16833333333332,30.861222222222224
8,Andromeda,9927.0,3.59,155.50208333333333,48.6285
9,Andromeda,217675.0,3.62,-165.48020833333334,42.32597222222223
10,Andromeda,222107.0,3.81,-174.39045833333336,46.45916666666667
11,Andromeda,5448.0,3.86,165.81208333333333,38.49925
12,Andromeda,4502.0,4.08,168.16504166666667,24.26738888888889
13,Andromeda,9826.0,4.10,155.80008333333333,41.406388888888884
14,Andromeda,222439.0,4.15,-175.10183333333333,44.33397222222222
15,Andromeda,6811.0,4.26,162.6245,47.24183333333333
16,Andromeda,222173.0,4.29,-174.53408333333334,43.26808333333333
17,Andromeda,3369.0,4.34,170.77983333333333,33.71936111111111
18,Andromeda,3546.0,4.34,170.36041666666668,29.312361111111112
19,Andromeda,5516.0,4.40,165.69820833333333,23.41775
20,Andromeda,1404.0,4.51,175.417875,36.785333333333334
21,Andromeda,4727.0,4.53,167.54654166666666,41.078944444444446
22,Andromeda,1280.0,4.61,175.72691666666665,38.681666666666665
23,Andromeda,8207.0,4.87,159.41504166666667,45.52875
1,Antlia,90610.0,4.28,23.211833333333345,-31.067805555555555
2,Antlia,82150.0,4.51,37.68858333333333,-35.95136111111111
3,Antlia,94890.0,4.60,15.820833333333326,-37.13747222222222
4,Antlia,84367.0,4.78,33.949458333333325,-27.769555555555556
1,Apus,129078.0,3.83,-41.96554166666667,-79.04472222222222
2,Apus,147675.0,3.86,-68.36441666666667,-78.89697222222223
3,Apus,149324.0,4.23,-70.77258333333333,-77.51658333333333
4,Apus,145366.0,4.68,-65.08683333333335,-78.69566666666667
5,Apus,145388.0,5.27,-65.11191666666667,-78.66741666666667
4,Aquarius,204867.0,2.90,-142.88966666666664,-5.571166666666667
5,Aquarius,209750.0,2.95,-151.44595833333335,0.3198333333333333
6,Aquarius,216627.0,3.27,-163.66266666666667,-15.82075
7,Aquarius,213051.0,3.65,-157.20749999999998,0.020055555555555556
8,Aquarius,216386.0,3.73,-163.15358333333336,-7.579666666666666
9,Aquarius,198001.0,3.78,-131.918875,-9.495694444444444
10,Aquarius,212061.0,3.86,-155.41375,-1.387361111111111
11,Aquarius,213998.0,4.04,-158.83887499999997,0.11736111111111111
12,Aquarius,216032.0,4.05,-162.39795833333335,-13.592527777777779
13,Aquarius,211391.0,4.17,-154.20820833333335,-7.78325
14,Aquarius,219215.0,4.22,-168.58054166666665,-6.048527777777777
15,Aquarius,209819.0,4.29,-151.60920833333336,-13.869527777777778
16,Aquarius,219449.0,4.24,-168.97199999999998,-9.087694444444445
17,Aquarius,219688.0,4.41,-169.47583333333336,-9.1825
18,Aquarius,222661.0,4.49,-175.68033333333335,-14.54475
19,Aquarius,201381.0,4.50,-137.3982916666667,-11.371666666666668
20,Aquarius,212571.0,4.80,-156.31920833333334,1.377388888888889
21,Aquarius,198743.0,4.73,-133.16337499999997,-8.98325
22,Aquarius,213320.0,4.82,-157.66174999999998,-10.677888888888889
23,Aquarius,222345.0,4.97,-174.94600000000003,-14.222055555555556
24,Aquarius,219832.0,4.99,-169.74020833333333,-9.610722222222222
25,Aquarius,214376.0,5.04,-159.43925000000002,-4.22775
1,Aquila,187642.0,0.76,-117.6945,8.86738888888889
