Number,Name,Constellation
4,Alpheratz,Andromeda
5,Mirach,Andromeda
6,Almach,Andromeda
7,Delta Andromedae,Andromeda
8,Nembus,Andromeda
9,Omicron Andromedae,Andromeda
10,Lambda Andromedae,Andromeda
11,Mu Andromedae,Andromeda
12,Zeta Andromedae,Andromeda
13,Upsilon Andromedae,Andromeda
14,Kappa Andromedae,Andromeda
15,Phi Andromedae,Andromeda
16,Iota Andromedae,Andromeda
17,Pi Andromedae,Andromeda
18,Epsilon Andromedae,Andromeda
19,Eta Andromedae,Andromeda
20,Sigma Andromedae,Andromeda
21,Nu Andromedae,Andromeda
22,Theta Andromedae,Andromeda
23,Adhil,Andromeda
1,Alpha Antilae,Antlia
2,Epsilon Antilae,Antlia
3,Iota Antilae,Antlia
4,Theta Antilae,Antlia
1,Alpha Apodis,Apus
2,Gamma Apodis,Apus
3,Beta Apodis,Apus
4,Delta-1 Apodis,Apus
5,Delta-2 Apodis,Apus
4,Sadalsuud,Aquarius
5,Sadalmelik,Aquarius
6,Skat,Aquarius
7,Sadaltager,Aquarius
8,Lambda Aquarii,Aquarius
9,Albali,Aquarius
10,Sadachbia,Aquarius
11,Eta Aquarii,Aquarius
12,Tau-2 Aquarii,Aquarius
13,Ancha,Aquarius
14,Phi Aquarii,Aquarius
15,Iota Aquarii,Aquarius
16,Psi-1 Aquarii,Aquarius
17,Psi-2 Aquarii,Aquarius
18,Omega-2 Aquarii,Aquarius
19,Nu Aquarii,Aquarius
20,Pi Aquarii,Aquarius
21,Mu Aquarii,Aquarius
22,Sigma Aquarii,Aquarius
23,Omega-1 Aquarii,Aquarius
24,Psi-3 Aquarii,Aquarius
25,Situla,Aquarius
1,Altair,Aquila
2,Tarazed,Aquila
3,Deneb el Okab Australis,Aquila
4,Tseen Foo,Aquila
5,Delta Aquilae,Aquila
6,Lambda Aquilae,Aquila
7,Alshain,Aquila
8,Bezek,Aquila
9,Deneb el Okab Borealis,Aquila
10,Al Thalimain,Aquila
1,Beta Arae,Ara
2,Alpha Arae,Ara
3,Zeta Arae,Ara
4,Gamma Arae,Ara
5,Delta Arae,Ara
6,Theta Arae,Ara
7,Eta Arae,Ara
8,Epsilon-1 Arae,Ara
1,Hamal,Aries
2,Sheratan,Aries
3,41 Arietis,Aries
4,Mesarthim,Aries
5,Botein,Aries
6,Epsilon Arietis,Aries
7,Lambda Arietis,Aries
8,Zeta Arietis,Aries
4,Capella,Auriga
5,Menkalinan,Auriga
6,Mahasim,Auriga
7,Hassaleh,Auriga
8,Almaaz,Auriga
9,Haedus II,Auriga
10,Prijipati,Auriga
11,Haedus,Auriga
12,Nu Aurigae,Auriga
13,Tau Aurigae,Auriga
14,Upsilon Aurigae,Auriga
1,Arcturus,Boötes
2,Izar,Boötes
3,Muphrid,Boötes
4,Seginus,Boötes
5,Delta Boötis,Boötes
6,Nekkar,Boötes
7,Sigma Boötis,Boötes
8,Rho Boötis,Boötes
9,Zeta Boötis,Boötes
10,Asellus Primus,Boötes
11,Upsilon Boötis,Boötes
12,Lambda Boötis,Boötes
13,Alkalurops,Boötes
14,Tau Boötis,Boötes
15,Nadlat,Boötes
16,Asellus Tertius,Boötes
17,Xi Boötis,Boötes
18,Asellus Secondus,Boötes
19,Merga,Boötes
1,Alpha Caeli,Caelum
2,Gamma-1 Caeli,Caelum
3,Beta Caeli,Caelum
4,Delta Caeli,Caelum
1,Beta Camelopardalis,Camelopardalis
2,CS Camelopardalis,Camelopardalis
3,Alpha Camelopardalis,Camelopardalis
4,Gamma Camelopardalis,Camelopardalis
3,Altarf,Cancer
4,Asellus Australis,Cancer
5,Acubens,Cancer
6,Asellus Borealis,Cancer
7,Tegmen,Cancer
6,Cor Caroli,Canes Venatici
7,Chara,Canes Venatici
8,La Superba,Canes Venatici
2,Sirius,Canis Major
3,Adhara,Canis Major
4,Wezen,Canis Major
5,Mirzam,Canis Major
6,Aludra,Canis Major
7,Furud,Canis Major
8,Kappa Canis Majoris,Canis Major
9,Theta Canis Majoris,Canis Major
10,Muliphen,Canis Major
11,Iota Canis Majoris,Canis Major
1,Procyon,Canis Minor
2,Gomeisa,Canis Minor
3,Gamma Canis Minoris,Canis Minor
4,Epsilon Canis Minoris,Canis Minor
2,Deneb Algedi,Capricornus
3,Dabih,Capricornus
4,Algiedi Secunda,Capricornus
5,Nashira,Capricornus
6,Yen,Capricornus
7,Dorsum,Capricornus
8,Omega Algiedi,Capricornus
9,Psi Capricorni,Capricornus
10,Algiedi Prima,Capricornus
11,Iota Capricorni,Capricornus
12,Alshat,Capricornus
1,Canopis,Carina
2,Miaplacidus,Carina
3,Avior,Carina
4,Aspidiske,Carina
5,Theta Carinae,Carina
6,Upsilon Carinae,Carina
7,Omega Carinae,Carina
8,Foramen,Carina
