artist,album,track_name,track_id,release_year,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Drake,Scorpion,God's Plan,6DCZcSspjsKoFjzjrWoCdn,2018,True,85,0.754,0.449,7,-9.211,1,0.109,8.29e-05,0.552,0.357,77.169,198973,4
XXXTENTACION,?,SAD!,3ee8Jmje8o58CHK66QrVC2,2018,True,87,0.74,0.613,8,-4.88,1,0.145,0.00372,0.123,0.473,75.023,166606,4
Post Malone,beerbongs & bentleys,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,2018,True,87,0.585,0.52,5,-6.136,0,0.0712,7.01e-05,0.131,0.129,159.801,218147,4
Post Malone,beerbongs & bentleys,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,2018,True,81,0.75,0.56,8,-8.094,1,0.105,0.0,0.111,0.459,140.06,221440,4
Drake,Scorpion,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,2018,True,79,0.835,0.626,1,-5.833,1,0.125,6e-05,0.396,0.35,91.03,217925,4
Post Malone,beerbongs & bentleys,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018,True,84,0.68,0.578,10,-5.804,1,0.04,0.0,0.135,0.341,145.038,231267,4
Cardi B,Invasion of Privacy,I Like It,58q2HKrzhC3ozto2nDdN4z,2018,True,83,0.816,0.726,5,-3.998,0,0.129,0.0,0.372,0.65,136.048,253390,4
Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,2018,False,85,0.791,0.862,9,-3.24,0,0.11,2.19e-05,0.0814,0.592,123.994,214847,4
Dua Lipa,Dua Lipa (Deluxe),IDGAF,76cy1WJvNGJTj78UqeA5zr,2018,True,81,0.836,0.544,7,-5.975,1,0.0943,0.0,0.0824,0.51,97.028,217947,4
Marshmello,FRIENDS,FRIENDS,08bNPGLD8AhKpnnERrAc6G,2018,True,82,0.626,0.88,9,-2.384,0,0.0504,0.0,0.128,0.534,95.079,202621,4
