Star Name,Description,Location,History
Andromeda,Chained Maiden,"The constellation Andromeda, Princess of Ethiopia, is visible in the northern hemisphere from August through January. It can be seen and in the southern hemisphere in November. It is below the horizon for anyone south of latitude -40 degrees. Andromeda is a large constellation, covering 722 square degrees of the sky. In fact, it is the 19th largest constellation in the night sky. It is bordered by Perseus, Cassiopeia, Lacerta, Pegasus, Pisces, and Triangulum.","Andromeda is one of the original 48 constellations listed by the Greek astronomer Ptolemy in the second century. It represents the daughter of Cepheus and Cassiopeia, the king and queen of Ethiopia. Andromeda was chained to a rock as a sacrifice to the sea monster Cetus. She was saved by Perseus when he turned Cetus to stone by using the dismembered head of the gorgon Medusa. Perseus and Andromeda were later married and had six children, including Perses, who was the ancestor of the Persians."
Antlia,Air Pump,"The constellation Antlia, the air pump, is located in the southern hemisphere of the sky. It can be seen at latitudes between 45 degrees and -90 degrees from January through March. It is a small constellation covering an area of 239 square degrees. It ranks 62nd in size among the 88 constellations in the night sky. It is bordered by the constellations Centaurus, Hydra, Pyxis, and Vela. Antlia occupies a mostly empty region of the sky and contains only faint stars. It requires a lot of imagination to see an air pump in this area.","There is no mythology associated with Antlia. It was too far south and too faint to be noticed by the ancient Greeks. It is one of the 14 constellations named by French astronomer Abbé Nicolas Louis de Lacaille in the 18th century to fill in empty spaces in the southern hemisphere. It was originally named ""Antlia Pneumatica"" to commemorate the invention of the air pump by French physicist Denis Papin. Lacaille depicted it as a single-cylinder vacuum pump used in Papin’s experiments. Later, German astronomer Johann Bode depicted the constellation as a more advanced double-cylinder pump. It was officially adopted as one of the 88 modern constellations by the International Astronomical Union in 1922."
Apus,Bird of Paradise,"The constellation Apus, the bird of paradise, is located in the southern hemisphere of the sky. It can be seen in all southern latitudes. In northern latitudes, it is only visible south of 7 degrees. It is a small constellation, covering an area of 206 square degrees. It ranks 67th in size among the 88 constellations in the night sky. It is bordered by Ara, Triangulum Australe and Circinus to the north, Musca and Chamaeleon to the west, Octans to the south, and Pavo to the east.","There are no myths associated with Apus. It is one of 12 constellations named by the Dutch astronomer Petrus Plancius to fill in the blanks in the southern sky. Plancius originally called the constellation Paradysvogel Apis Indica. Paradysvogel means “the bird of paradise” in Dutch. It was later included in Johann Bayer’s star atlas in 1603 where it was called Apus Indica. It represented the bird of paradise also known at the time as Apus Indica, which means ""Bird of India"". The name Apus may have also come from the Greek word Apous, which means ""without feet"". This is because the beautiful Bird of India often had its unsightly legs removed before being offered as a gift to the Europeans. The name eventually shortened to Apus, and some of the stars were removed to form the constellation Musca, the fly."
Aquarius,Water Bearer,"The constellation Aquarius, the water bearer, is visible in the fall in the northern hemisphere and spring in the southern hemisphere. It can be seen at latitudes between 65 degrees and -90 degrees. It is a large constellation, covering 980 square degrees. This makes it the 10th largest constellation in the night sky. It is bordered by the constellations Aquila, Capricornus, Cetus, Delphinus, Equuleus, Pegasus, Pisces, Piscis Austrinus, and Sculptor. It shares an area of sky with other water constellations such as Cetus, the sea monster, Pisces, the fish, and Eridanus, the river. Aquarius is one of the 13 constellations of the zodiac. This means that it lies along the path the Sun travels in the sky during the year. It is also the origin point for the annual Delta Aquarids meteor shower.","Aquarius is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. It is represented as a man pouring water from a bucket into the mouth of the Southern Fish, depicted by the constellation Piscis Austrinus. This ancient constellation has its roots in a number of cultures. In Babylonian mythology, Aquarius was associated with the god Ea. The ancient Egyptians believed that it represented the god of the Nile. In Greek mythology, Aquarius was Ganymede, a Trojan youth who was carried off to Olympus by Zeus to serve as the cupbearer to the gods."
Aquila,Eagle,"The constellation Aquila, the eagle, is visible in the northern hemisphere from July through October. It can be seen between latitudes 90 degrees and -75 degrees. It is a mid-sized constellation, spanning 652 square degrees of the sky. This makes it the 22nd largest constellation in the night sky. It is bordered by the constellations Aquarius, Capricornus, Delphinus, Hercules, Ophiuchus, Sagitta, Sagittarius, Scutum, and Serpens Cauda. Aquila’s brightest star Altair forms part of the famous Summer Triangle, along with Deneb in Cygnus and Vega in Lyra.","The name Aquila means “Eagle” in Latin. It represents the eagle that carried Zeus’ thunderbolts and also brought the mortal Ganymede to the heavens to serve as Zeus' cupbearer. In another myth, Aquila represents the goddess Aphrodite. She disguised herself as an eagle and pretended to pursue Zeus in the form of a swan. She did this so that Zeus’ love interest, the goddess Nemesis, would give him shelter. Zeus later placed the eagle and the swan in the heavens as constellations. Aquila has been known since the time of the ancient Babylonians, who also saw it as an eagle. To the ancient Romans, the constellation represented a flying vulture."
Ara,Altar,"The constellation Ara, the altar, is located in the southern hemisphere of the sky. It is visible at latitudes between 25 degrees and -90 degrees from November through January. It is best observed during the month of July. It is a small constellation occupying an area of 237 square degrees. It ranks 63rd in size among the 88 constellations in the night sky. It is bordered by the constellations Apus, Corona Australis, Norma, Pavo, Scorpius, Telescopium, and Triangulum Australe.","Apus is one of the 48 constellations introduced by the Greek astronomer Ptolemy in the second century. Its name means “The Altar” in Latin. It is usually depicted as an altar with its smoke rising to the south. It is an ancient constellation that has existed since the time of the Babylonians. In Greek mythology, it represents the altar where the gods made offerings and alliances before defeating the Titans. The altar was believed to have been built by the Cyclopes as a place of sacrifice to the Olympian gods. It may also represent the altar where Centaurus the centaur sacrificed Lupus the wolf."
Aries,Ram,"The constellation Aries, the ram, can be seen in the northern hemisphere during the late winter and early spring. It is visible at latitudes between 90 degrees and -60 degrees. It is a medium-sized constellation bounded by Taurus, Pisces, and Cetus. It is one of the 48 constellations described by Ptolemy in the second century. Aries is the 39th largest constellation in the night sky, covering an area of 441 square degrees. It is also one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year.","The name Aries is Latin for “ram”. It is an ancient constellation which has been known by many forms throughout history. To the early Babylonians, these stars represented a farmhand. The early Chinese saw it as twin inspectors. To the inhabitants of the Marshall Islands, it was a porpoise. In Greek mythology, it represented the ram from which the golden fleece was obtained in the story of Jason and the Argonauts. The constellation was officially recognized by the International Astronomical Union in 1922, and its boundaries were defined in 1920 by Belgian astronomer Eugène Delporte."
Auriga,Charioteer,"The constellation Auriga, the charioteer, can be seen most of the year in northern latitudes due to its circumpolar nature. It is visible at latitudes between 90 degrees and -40 degrees. It is a medium-sized constellation that fills 657 square degrees of the sky. It ranks 21st in size among the 88 constellations in the night sky. It is bordered by the constellations Camelopardalis, Gemini, Lynx, Perseus, and Taurus. Auriga is the site of the galactic anticenter, a theoretical point in the sky that lies directly opposite the center of the Milky Way Galaxy. The center of the Milky Way lies 180 degrees away in the direction of the constellation Sagittarius.","Auriga is one of the 48 constellations first listed by the Greek astronomer Ptolemy in the second century. The name means “the charioteer” in Latin. It is an ancient constellation with roots in many cultures. It was first recognized in Mesopotamia as a scimitar or crook. The crook stood for a goat-herd or shepherd. To the ancient Bedouin astronomers, the constellation represented a herd of goats. The Chinese saw it as Wuche, the five chariots of the celestial emperors and the representation of the grain harvest. In Greek mythology, it represented the charioteer Erechtheus, who is seen carrying his children in his arm. This constellation is believed to have originated with the Babylonians. In some references, the charioteer carries a goat along with the two children. His other hand holds the reins to the chariot."
Boötes,Herdsman,"The constellation Boötes, the herdsman, is visible in the northern hemisphere from spring through the summer. It can be seen at latitudes between 90 degrees and -50 degrees. It is a large constellation covering an area of 907 square degrees. This makes it the 13th largest constellation in the night sky. It is bordered by Virgo to the south, Coma Berenices and Canes Venatici to the west, Ursa Major to the northwest, Draco to the northeast, and Hercules, Corona Borealis and Serpens Caput to the east.","Boötes is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. Its name comes from a Greek word that means ""ox driver, plowman, or herdsman"". It is typically depicted as a herdsman. Along with his faithful hounds, Canes Venatici, he follows the two bears, Ursa Major and Ursa Minor, around the pole. Boötes is an ancient constellation that has been known since the time of the Babylonians. They depicted it as their god Enlil, who was the leader of the Babylonian pantheon and the patron of farmers. The ancient Greeks once called this constellation Arctophylax, which means ""the protector of the Bear"". The Romans called it Venator Ursae, ""the Bear Hunter"". The name Boötes first appeared in The Odyssey, written by the Greek author Homer almost three thousand years ago."
Caelum,Engraving Tool,"The constellation Caelum, the sculptor’s chisel, is located in the southern hemisphere of the sky. It is visible at latitudes between 40 degrees and -90 degrees. It is a very small constellation, occupying an area of only 125 square degrees. This makes it the eighth smallest constellation in the night sky. It is bordered by Dorado and Pictor to the south, Horologium and Eridanus to the east, Lepus to the north, and Columba to the west. It is a dim constellation that can be difficult to locate in all but the darkest skies.","There are no myths associated with Caelum. It is one of the 14 southern constellations named by the French astronomer Abbé Nicolas Louis de Lacaille in the 18th century. Its name means “the chisel” in Latin. It resembles a burin, which is an engravers tool similar to a chisel. Lacaille originally named the constellation “les Burins” and depicted it as a pair of crossed burins connected by a ribbon. The name was later Latinized to Caelum Scalptorium, which means “the engraver’s chisel.” It was later shortened to Caelum by British astronomer Francis Baily at the suggestion of John Herschel."
Camelopardalis,Giraffe,"The constellation Camelopardalis, the giraffe, can be seen most of the year in the northern hemisphere. It is visible at latitudes north of -10 degrees. It is a fairly large constellation that occupies a total area of 757 square degrees. This makes it the 18th largest constellation in the night sky. It is bordered by the constellations Auriga, Cassiopeia, Cepheus, Draco, Lynx, Perseus, Ursa Major, and Ursa Minor. Camelopardalis is a circumpolar constellation which means it is visible all night as it rotates around the north celestial pole. It contains a star formation known as Kemble’s Cascade. This asterism forms a cascade of about 20 dim stars spread out in a straight line.","There are no myths associated with Camelopardalis. The ancient Greeks thought that this region of the sky was empty. Camelopardalis is one of 12 constellations named by the Dutch astronomer Petrus Plancius based on observations by Dutch navigators. Plancius included it on his celestial globe and a year later, in 1624, it was featured in a star atlas created by German astronomer Jakob Bartsch. This constellation was first observed to look like a camel. Bartsch originally described it as the animal Rebecca rode to marry Isaac in the Bible. The name was eventually changed to camelopardalis, which is Latin for giraffe. When dark conditions allow most of the stars to be seen, the constellation does resemble a giraffe."
Cancer,Crab,"The constellation Cancer, the crab, is visible in the northern hemisphere in the early spring. It is visible at latitudes between 90 degrees and -60 degrees. It is a medium-sized constellation filling 506 square degrees of the sky. It ranks 31st in size among the 88 constellations in the night sky. It is bordered by Gemini to the west, Lynx to the north, Leo Minor to the northeast, Leo to the east, Hydra to the south, and Canis Minor to the southwest. It is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year.","Cancer is one of the 48 constellations originally listed by the Greek astronomer Ptolemy in the second century. Its name means “the crab” in Latin. It is believed to represent the crab in the story of the twelve labors of Hercules. It was sent by the goddess Hera to distract Hercules while he is fighting the Hydra. When the crab tries to kill Hercules, he kicks it so hard that it is propelled into the sky among the stars. In another version, the crab tried to grab Hercules’ toe, but Hercules crushed it under his foot. In some ancient cultures this constellation was believed to be the gate through which souls passed from Heaven to Earth as they were born into human bodies."
Canes Venatici,Hunting Dogs,"The constellation Canes Venatici, the hunting dogs, is visible in the Northern Hemisphere in spring and summer. It is visible at latitudes between 90 degrees and -40 degrees. It is a medium-sized constellation covering 465 square degrees of the sky. It ranks 38th in size among the 88 constellations in the night sky. It is bordered by Ursa Major to the north and west, Coma Berenices to the south, and Boötes to the east.","Canes Venatici was originally included in the constellation Ursa Major by the Greek astronomer Ptolemy in the second century. The constellation’s name means “hunting dogs” in Latin. There are no myths associated with this constellation. It represents the hunting dogs, Asterion and Chara, held by Boötes as he hunts for the bears Ursa Major and Ursa Minor in the night sky. The two dogs were first depicted with Boötes on a map by the German astronomer Peter Apian in 1533. The stars were separated out by the Polish astronomer Johannes Hevelius in 1687. He took the faint stars under the bear’s tail and formed the modern constellation Canes Venatici."
Canis Major,Great Dog,"The constellation Canis Major, the great dog, is located in the southern hemisphere of the sky. It is visible in the northern hemisphere from December through March. It can be seen at latitudes between 60 degrees and -90 degrees. It is a small to mid-sized constellation covering an area of 380 square degrees. It ranks 43rd in size among the 88 constellations in the night sky.","Canis Major is one of the 48 constellations originally cataloged by the Greek astronomer Ptolemy in the second century. Its name means “the greater dog” in Latin. It represents the larger of Orion's two hunting dogs who accompany him as he hunts Lepus, the rabbit. It is an ancient constellation with many different meanings to many different cultures. The ancient Babylonians saw it as an arrow aiming towards Orion. Part of the stars from Puppis formed the bow. To the Chinese, the stars in Canis Major were part of the Vermillion Bird. In Greek mythology, the constellation represented the dog Laelaps, a gift from Zeus to Europa. The dog was famous for being the fastest in the world. Zeus eventually placed the dog into the night sky. If you connect the stars with lines, this constellation does somewhat resemble a dog."
