Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
China,Export,940310,"Furniture; metal, for office use",2019, World,         662461.05,2.79324e+008,Kg
Canada,Export,940310,"Furniture; metal, for office use",2019, World,         495375.99,,
European Union,Export,940310,"Furniture; metal, for office use",2019, World,         403825.23,5.05064e+007,Kg
United States,Export,940310,"Furniture; metal, for office use",2019, World,         213518.29,,
Germany,Export,940310,"Furniture; metal, for office use",2019, World,         210946.04,3.1152e+007,Kg
Italy,Export,940310,"Furniture; metal, for office use",2019, World,         190265.84,2.74769e+007,Kg
United Kingdom,Export,940310,"Furniture; metal, for office use",2019, World,         139120.72,2.38253e+007,Kg
Spain,Export,940310,"Furniture; metal, for office use",2019, World,         129420.63,2.00062e+007,Kg
"Other Asia, nes",Export,940310,"Furniture; metal, for office use",2019, World,         120747.93,4.08591e+007,Kg
Netherlands,Export,940310,"Furniture; metal, for office use",2019, World,          98453.90,1.85062e+007,Kg
Turkey,Export,940310,"Furniture; metal, for office use",2019, World,          93676.59,4.2117e+007,Kg
Poland,Export,940310,"Furniture; metal, for office use",2019, World,          77575.05,1.99789e+007,Kg
Malaysia,Export,940310,"Furniture; metal, for office use",2019, World,          59380.60,1.92077e+007,Kg
Mexico,Export,940310,"Furniture; metal, for office use",2019, World,          47590.05,6.60029e+006,Kg
Denmark,Export,940310,"Furniture; metal, for office use",2019, World,          44577.34,5.07847e+006,Kg
France,Export,940310,"Furniture; metal, for office use",2019, World,          43949.77,8.2765e+006,Kg
Czech Republic,Export,940310,"Furniture; metal, for office use",2019, World,          41909.90,1.20039e+007,Kg
Portugal,Export,940310,"Furniture; metal, for office use",2019, World,          40980.99,7.89686e+006,Kg
Belgium,Export,940310,"Furniture; metal, for office use",2019, World,          29257.39,2.32753e+006,Kg
Sweden,Export,940310,"Furniture; metal, for office use",2019, World,          28336.98,3.78818e+006,Kg
Austria,Export,940310,"Furniture; metal, for office use",2019, World,          27282.76,4.61231e+006,Kg
Vietnam,Export,940310,"Furniture; metal, for office use",2019, World,          26599.41,3.30496e+006,Kg
Switzerland,Export,940310,"Furniture; metal, for office use",2019, World,          25771.45,2.13792e+006,Kg
India,Export,940310,"Furniture; metal, for office use",2019, World,          16229.82,2.27733e+006,Kg
Occ.Pal.Terr,Export,940310,"Furniture; metal, for office use",2019, World,          15855.57,2.19902e+006,Kg
United Arab Emirates,Export,940310,"Furniture; metal, for office use",2019, World,          13492.77,,
Singapore,Export,940310,"Furniture; metal, for office use",2019, World,          13047.13,1.6211e+006,Kg
Hungary,Export,940310,"Furniture; metal, for office use",2019, World,          11451.80,3.07226e+006,Kg
Russian Federation,Export,940310,"Furniture; metal, for office use",2019, World,          10936.98,1.83223e+007,Kg
Indonesia,Export,940310,"Furniture; metal, for office use",2019, World,           8309.25,1.34985e+006,Kg
Thailand,Export,940310,"Furniture; metal, for office use",2019, World,           7886.69,979916,Kg
Latvia,Export,940310,"Furniture; metal, for office use",2019, World,           7718.49,736508,Kg
Estonia,Export,940310,"Furniture; metal, for office use",2019, World,           6937.21,1.05917e+006,Kg
"Hong Kong, China",Export,940310,"Furniture; metal, for office use",2019, World,           6249.65,1.37221e+006,Kg
"Korea, Rep.",Export,940310,"Furniture; metal, for office use",2019, World,           6037.70,1.0618e+006,Kg
Australia,Export,940310,"Furniture; metal, for office use",2019, World,           5415.25,672841,Kg
Philippines,Export,940310,"Furniture; metal, for office use",2019, World,           4477.85,556369,Kg
Ireland,Export,940310,"Furniture; metal, for office use",2019, World,           4410.87,1.50003e+006,Kg
Lithuania,Export,940310,"Furniture; metal, for office use",2019, World,           4281.14,444375,Kg
Finland,Export,940310,"Furniture; metal, for office use",2019, World,           4199.46,18054.9,Kg
Ukraine,Export,940310,"Furniture; metal, for office use",2019, World,           3679.83,,
Romania,Export,940310,"Furniture; metal, for office use",2019, World,           3618.78,532722,Kg
"Serbia, FR(Serbia/Montenegro)",Export,940310,"Furniture; metal, for office use",2019, World,           3562.76,1.04873e+006,Kg
South Africa,Export,940310,"Furniture; metal, for office use",2019, World,           3544.15,948619,Kg
Norway,Export,940310,"Furniture; metal, for office use",2019, World,           3307.86,418064,Kg
Bosnia and Herzegovina,Export,940310,"Furniture; metal, for office use",2019, World,           2913.85,778034,Kg
Japan,Export,940310,"Furniture; metal, for office use",2019, World,           2808.41,584003,Kg
Israel,Export,940310,"Furniture; metal, for office use",2019, World,           2780.00,345413,Kg
Slovenia,Export,940310,"Furniture; metal, for office use",2019, World,           2399.20,634599,Kg
Greece,Export,940310,"Furniture; metal, for office use",2019, World,           1979.58,757111,Kg
Luxembourg,Export,940310,"Furniture; metal, for office use",2019, World,           1961.31,174974,Kg
New Zealand,Export,940310,"Furniture; metal, for office use",2019, World,           1953.86,,
Guatemala,Export,940310,"Furniture; metal, for office use",2019, World,           1881.51,813009,Kg
Slovak Republic,Export,940310,"Furniture; metal, for office use",2019, World,           1755.09,682545,Kg
Bulgaria,Export,940310,"Furniture; metal, for office use",2019, World,           1734.69,379807,Kg
Belarus,Export,940310,"Furniture; metal, for office use",2019, World,           1548.30,795512,Kg
"Egypt, Arab Rep.",Export,940310,"Furniture; metal, for office use",2019, World,           1101.07,374156,Kg
Croatia,Export,940310,"Furniture; metal, for office use",2019, World,           1070.04,181441,Kg
Colombia,Export,940310,"Furniture; metal, for office use",2019, World,           1017.60,166046,Kg
Kuwait,Export,940310,"Furniture; metal, for office use",2019, World,           1016.53,330350,Kg
North Macedonia,Export,940310,"Furniture; metal, for office use",2019, World,            856.70,208824,Kg
Jordan,Export,940310,"Furniture; metal, for office use",2019, World,            572.49,50946,Kg
Brunei,Export,940310,"Furniture; metal, for office use",2019, World,            480.83,5473.09,Kg
Tunisia,Export,940310,"Furniture; metal, for office use",2019, World,            463.38,77375,Kg
Brazil,Export,940310,"Furniture; metal, for office use",2019, World,            449.91,115791,Kg
Honduras,Export,940310,"Furniture; metal, for office use",2019, World,            431.51,158021,Kg
Morocco,Export,940310,"Furniture; metal, for office use",2019, World,            403.44,92124.2,Kg
Bahrain,Export,940310,"Furniture; metal, for office use",2019, World,            330.90,76303.1,Kg
Lebanon,Export,940310,"Furniture; metal, for office use",2019, World,            276.24,17566,Kg
Kazakhstan,Export,940310,"Furniture; metal, for office use",2019, World,            234.49,80846.3,Kg
