Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
United States,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,        1138291.24,1.15608e+008,Item
China,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         574566.40,6.93281e+009,Item
Philippines,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         513403.92,,
Malaysia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         319128.04,1.79566e+009,Item
"Korea, Rep.",Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         242838.96,,
European Union,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         222944.61,,
Singapore,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         160036.10,6.95037e+008,Item
"Hong Kong, China",Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         114683.91,1.09737e+009,Item
Germany,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         114095.20,,
Japan,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         106509.00,7.01032e+008,Item
Israel,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          97041.00,,
Sweden,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          67419.80,,
Netherlands,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          57294.17,,
Indonesia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          45632.22,,
India,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          43214.65,2.29704e+007,Item
United Kingdom,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          38975.00,,
Denmark,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          37174.22,,
Ireland,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          34955.30,,
