Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
United States,Import,940310,"Furniture; metal, for office use",2019, World,         852911.10,1.9008e+008,Kg
European Union,Import,940310,"Furniture; metal, for office use",2019, World,         353572.16,1.19291e+008,Kg
France,Import,940310,"Furniture; metal, for office use",2019, World,         185389.21,4.52605e+007,Kg
Canada,Import,940310,"Furniture; metal, for office use",2019, World,         174862.01,,
United Kingdom,Import,940310,"Furniture; metal, for office use",2019, World,         168417.19,3.96874e+007,Kg
Germany,Import,940310,"Furniture; metal, for office use",2019, World,         146236.52,4.0814e+007,Kg
Netherlands,Import,940310,"Furniture; metal, for office use",2019, World,         107989.80,2.694e+007,Kg
Saudi Arabia,Import,940310,"Furniture; metal, for office use",2019, World,          68159.72,2.42802e+007,Kg
Australia,Import,940310,"Furniture; metal, for office use",2019, World,          64922.47,1.44686e+007,Kg
Switzerland,Import,940310,"Furniture; metal, for office use",2019, World,          56196.60,,
Singapore,Import,940310,"Furniture; metal, for office use",2019, World,          48779.24,1.0871e+007,Kg
Belgium,Import,940310,"Furniture; metal, for office use",2019, World,          47050.38,1.13077e+007,Kg
Austria,Import,940310,"Furniture; metal, for office use",2019, World,          44991.28,6.19979e+006,Kg
Indonesia,Import,940310,"Furniture; metal, for office use",2019, World,          40392.09,2.12974e+007,Kg
Italy,Import,940310,"Furniture; metal, for office use",2019, World,          36047.39,9.65086e+006,Kg
United Arab Emirates,Import,940310,"Furniture; metal, for office use",2019, World,          35967.11,1.1454e+007,Kg
Spain,Import,940310,"Furniture; metal, for office use",2019, World,          34226.59,1.26486e+007,Kg
Qatar,Import,940310,"Furniture; metal, for office use",2019, World,          33053.30,7.83839e+006,Kg
Norway,Import,940310,"Furniture; metal, for office use",2019, World,          32569.16,5.74414e+006,Kg
Japan,Import,940310,"Furniture; metal, for office use",2019, World,          30423.56,9.52974e+006,Kg
"Hong Kong, China",Import,940310,"Furniture; metal, for office use",2019, World,          30404.15,1.43877e+007,Kg
