Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         723185.33,3.16069e+006,Kg
Belgium,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         653373.40,2.37675e+006,Kg
Germany,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         495470.52,782916,Kg
United States,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         482121.52,778694,Kg
Japan,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         334409.80,465899,Kg
Singapore,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         293432.36,822784,Kg
China,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         235035.65,341041,Kg
United Kingdom,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         177898.12,4.12068e+006,Kg
Netherlands,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         168809.51,1.03753e+006,Kg
Italy,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         156206.98,1.16633e+006,Kg
France,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         143027.64,582510,Kg
Spain,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,         131029.51,1.45363e+006,Kg
Australia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          84210.06,251004,Kg
"Korea, Rep.",Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          75394.04,280503,Kg
Canada,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          70364.91,,
Russian Federation,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          58379.56,198738,Kg
Poland,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          53266.83,282309,Kg
Switzerland,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          52804.95,,
Saudi Arabia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          45104.30,141223,Kg
"Other Asia, nes",Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          38401.38,89247.6,Kg
Mexico,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          37036.35,,
Austria,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          33742.00,597403,Kg
Brazil,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          31273.34,105386,Kg
Israel,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          25108.00,70402.8,Kg
Colombia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          22428.82,115528,Kg
Ireland,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          21708.59,189544,Kg
Indonesia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          21495.46,144021,Kg
Denmark,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          21417.93,100462,Kg
Sweden,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          20883.98,110884,Kg
Thailand,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          20452.28,67012.2,Kg
Costa Rica,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          19977.25,84464.2,Kg
Czech Republic,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          19175.19,427030,Kg
Greece,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          18821.93,294341,Kg
Vietnam,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          18507.33,51894.5,Kg
Turkey,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          17131.99,122364,Kg
Portugal,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          16850.65,61789,Kg
South Africa,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          16777.06,150372,Kg
Kuwait,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          16329.95,21016.5,Kg
New Zealand,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          15794.37,70335.2,Kg
"Egypt, Arab Rep.",Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          15107.43,,
India,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          15061.33,42541.3,Kg
