Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Philippines,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         492277.09,,
China,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         435958.59,2.30818e+010,Item
United States,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         403242.57,2.35932e+008,Item
"Korea, Rep.",Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         399111.59,,
Singapore,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         231241.09,2.39664e+009,Item
European Union,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         153980.95,,
Malaysia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         135392.16,5.87607e+008,Item
Vietnam,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,         117221.72,,
"Hong Kong, China",Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          95294.94,9.05988e+008,Item
Germany,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          72535.63,,
Japan,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          71217.41,8.22758e+007,Item
Mexico,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          57134.47,,
India,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          53832.84,4.12927e+008,Item
United Kingdom,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          46636.61,,
Indonesia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          45597.21,,
United Arab Emirates,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          30655.38,,
Thailand,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          29079.95,,
Denmark,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          22227.84,,
France,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          20406.55,,
"Other Asia, nes",Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          19106.75,3.28888e+007,Item
Belgium,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          18065.56,,
Italy,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          17817.61,,
Ireland,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          17283.89,,
Netherlands,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          15676.42,,
Hungary,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          15075.59,,
Spain,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          14618.26,,
Switzerland,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          12326.54,,
Costa Rica,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          11683.10,,
Czech Republic,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          11247.70,,
Canada,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,          11104.96,,
Sweden,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           9574.61,,
Israel,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           8665.00,,
Austria,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           8598.56,,
Poland,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           6877.12,,
Finland,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           5906.64,,
"Egypt, Arab Rep.",Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           5440.83,,
Turkey,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           5350.39,,
Jamaica,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           4837.53,56303,Item
Australia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           4596.12,1.17897e+006,Item
Romania,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           3310.45,,
Russian Federation,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           2595.33,,
Saudi Arabia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           2488.93,,
Tunisia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           2189.65,,
Qatar,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           2161.49,,
Slovenia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1918.05,,
Norway,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1811.16,148357,Item
Brazil,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1485.94,3.00402e+006,Item
Portugal,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1482.83,,
North Macedonia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1341.13,,
"Serbia, FR(Serbia/Montenegro)",Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1289.35,,
Bulgaria,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1139.00,,
Slovak Republic,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1066.83,,
Estonia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1045.28,,
Angola,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            895.31,,
New Zealand,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            862.53,2.06586e+006,Item
South Africa,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            717.54,4.08601e+008,Liter
Lithuania,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            686.80,,
Malta,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            556.51,,
Colombia,Import,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            542.11,2.28999e+006,Item
