Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
China,Export,281122,Silicon dioxide,2019, World,         550295.67,5.5345e+008,Kg
Germany,Export,281122,Silicon dioxide,2019, World,         482379.85,2.15855e+008,Kg
European Union,Export,281122,Silicon dioxide,2019, World,         385732.59,1.92515e+008,Kg
United States,Export,281122,Silicon dioxide,2019, World,         278681.31,,
Japan,Export,281122,Silicon dioxide,2019, World,         268628.41,4.06315e+007,Kg
United Kingdom,Export,281122,Silicon dioxide,2019, World,         105946.44,2.88704e+007,Kg
"Other Asia, nes",Export,281122,Silicon dioxide,2019, World,         105426.69,8.64907e+007,Kg
Poland,Export,281122,Silicon dioxide,2019, World,          87214.50,7.89564e+007,Kg
Belgium,Export,281122,Silicon dioxide,2019, World,          78193.32,3.00127e+007,Kg
"Korea, Rep.",Export,281122,Silicon dioxide,2019, World,          73820.92,4.09982e+007,Kg
Spain,Export,281122,Silicon dioxide,2019, World,          48185.77,,
Thailand,Export,281122,Silicon dioxide,2019, World,          47664.15,3.00045e+007,Kg
Netherlands,Export,281122,Silicon dioxide,2019, World,          45261.12,4.91012e+007,Kg
Norway,Export,281122,Silicon dioxide,2019, World,          41943.92,1.18363e+008,Kg
Italy,Export,281122,Silicon dioxide,2019, World,          40618.88,2.97588e+007,Kg
Turkey,Export,281122,Silicon dioxide,2019, World,          30900.07,3.06533e+007,Kg
Malaysia,Export,281122,Silicon dioxide,2019, World,          25130.64,3.64686e+007,Kg
Indonesia,Export,281122,Silicon dioxide,2019, World,          23966.42,1.53105e+007,Kg
Brazil,Export,281122,Silicon dioxide,2019, World,          22122.14,1.86867e+007,Kg
Singapore,Export,281122,Silicon dioxide,2019, World,          14631.14,5.43772e+006,Kg
Sweden,Export,281122,Silicon dioxide,2019, World,          14494.60,1.20281e+007,Kg
India,Export,281122,Silicon dioxide,2019, World,           9031.05,1.23349e+007,Kg
Austria,Export,281122,Silicon dioxide,2019, World,           8693.18,4.40242e+006,Kg
Canada,Export,281122,Silicon dioxide,2019, World,           7328.84,,
Mexico,Export,281122,Silicon dioxide,2019, World,           6654.34,2.79973e+006,Kg
"Hong Kong, China",Export,281122,Silicon dioxide,2019, World,           6581.11,1.50138e+006,Kg
Ukraine,Export,281122,Silicon dioxide,2019, World,           6289.62,1.40375e+006,Kg
Denmark,Export,281122,Silicon dioxide,2019, World,           5468.69,2.1862e+006,Kg
United Arab Emirates,Export,281122,Silicon dioxide,2019, World,           5024.80,,
Bosnia and Herzegovina,Export,281122,Silicon dioxide,2019, World,           4125.62,1.18916e+007,Kg
Russian Federation,Export,281122,Silicon dioxide,2019, World,           3336.55,,
Switzerland,Export,281122,Silicon dioxide,2019, World,           3177.25,,
Slovak Republic,Export,281122,Silicon dioxide,2019, World,           3027.05,1.94658e+006,Kg
Ireland,Export,281122,Silicon dioxide,2019, World,           2958.82,413166,Kg
South Africa,Export,281122,Silicon dioxide,2019, World,           2115.15,1.32874e+007,Kg
Australia,Export,281122,Silicon dioxide,2019, World,           1995.96,2.08748e+006,Kg
Luxembourg,Export,281122,Silicon dioxide,2019, World,           1979.65,780256,Kg
Iceland,Export,281122,Silicon dioxide,2019, World,           1976.39,2.03039e+007,Kg
Czech Republic,Export,281122,Silicon dioxide,2019, World,           1457.93,725736,Kg
Hungary,Export,281122,Silicon dioxide,2019, World,           1441.70,424133,Kg
Lithuania,Export,281122,Silicon dioxide,2019, World,           1172.06,612416,Kg
Vietnam,Export,281122,Silicon dioxide,2019, World,           1141.39,383149,Kg
Estonia,Export,281122,Silicon dioxide,2019, World,            912.03,565144,Kg
Kazakhstan,Export,281122,Silicon dioxide,2019, World,            744.82,1.01971e+007,Kg
Latvia,Export,281122,Silicon dioxide,2019, World,            620.16,396989,Kg
Croatia,Export,281122,Silicon dioxide,2019, World,            339.65,2.34053e+006,Kg
Slovenia,Export,281122,Silicon dioxide,2019, World,            329.08,195899,Kg
Bulgaria,Export,281122,Silicon dioxide,2019, World,            313.89,230641,Kg
Colombia,Export,281122,Silicon dioxide,2019, World,            253.11,284767,Kg
Portugal,Export,281122,Silicon dioxide,2019, World,            214.38,123976,Kg
Guatemala,Export,281122,Silicon dioxide,2019, World,            187.25,56177.3,Kg
Belarus,Export,281122,Silicon dioxide,2019, World,            162.90,,
Uruguay,Export,281122,Silicon dioxide,2019, World,            151.98,134191,Kg
Cyprus,Export,281122,Silicon dioxide,2019, World,            135.86,119280,Kg
Peru,Export,281122,Silicon dioxide,2019, World,            126.63,172926,Kg
Greece,Export,281122,Silicon dioxide,2019, World,            118.11,23987,Kg
Dominican Republic,Export,281122,Silicon dioxide,2019, World,            115.95,42785.1,Kg
Argentina,Export,281122,Silicon dioxide,2019, World,            108.79,70129.9,Kg
Pakistan,Export,281122,Silicon dioxide,2019, World,            102.21,31266,Kg
Romania,Export,281122,Silicon dioxide,2019, World,             95.16,39245.3,Kg
New Zealand,Export,281122,Silicon dioxide,2019, World,             91.29,58855.2,Kg
Costa Rica,Export,281122,Silicon dioxide,2019, World,             51.07,17664,Kg
"Serbia, FR(Serbia/Montenegro)",Export,281122,Silicon dioxide,2019, World,             48.68,11401.5,Kg
Lebanon,Export,281122,Silicon dioxide,2019, World,             48.32,6950,Kg
Senegal,Export,281122,Silicon dioxide,2019, World,             40.77,26539,Kg
Jordan,Export,281122,Silicon dioxide,2019, World,             29.53,40930,Kg
Kenya,Export,281122,Silicon dioxide,2019, World,             28.71,6880,Kg
Tunisia,Export,281122,Silicon dioxide,2019, World,             25.77,11829,Kg
Israel,Export,281122,Silicon dioxide,2019, World,             23.00,7720.79,Kg
Chile,Export,281122,Silicon dioxide,2019, World,             20.93,30780,Kg
Eswatini,Export,281122,Silicon dioxide,2019, World,             16.93,5600,Kg
Sri Lanka,Export,281122,Silicon dioxide,2019, World,             14.76,988.4,Kg
El Salvador,Export,281122,Silicon dioxide,2019, World,             14.34,2739.4,Kg
Morocco,Export,281122,Silicon dioxide,2019, World,             11.24,1819,Kg
Kyrgyz Republic,Export,281122,Silicon dioxide,2019, World,             10.91,2500,Kg
Angola,Export,281122,Silicon dioxide,2019, World,              9.84,17303.5,Kg
Malta,Export,281122,Silicon dioxide,2019, World,              7.69,2581.94,Kg
Kuwait,Export,281122,Silicon dioxide,2019, World,              6.51,25980,Kg
Philippines,Export,281122,Silicon dioxide,2019, World,              6.45,2176,Kg
Georgia,Export,281122,Silicon dioxide,2019, World,              5.24,726.53,Kg
Bahrain,Export,281122,Silicon dioxide,2019, World,              5.21,3540,Kg
Tanzania,Export,281122,Silicon dioxide,2019, World,              4.34,950,Kg
Saudi Arabia,Export,281122,Silicon dioxide,2019, World,              3.06,1470,Kg
Zambia,Export,281122,Silicon dioxide,2019, World,              2.92,33000,Kg
Azerbaijan,Export,281122,Silicon dioxide,2019, World,              2.62,2000,Kg
Cote d'Ivoire,Export,281122,Silicon dioxide,2019, World,              2.55,2788,Kg
Mauritius,Export,281122,Silicon dioxide,2019, World,              1.12,709.174,Kg
Myanmar,Export,281122,Silicon dioxide,2019, World,              1.12,4.18,Kg
Bolivia,Export,281122,Silicon dioxide,2019, World,              1.09,,
Nicaragua,Export,281122,Silicon dioxide,2019, World,              0.74,436.17,Kg
Fiji,Export,281122,Silicon dioxide,2019, World,              0.69,30,Kg
North Macedonia,Export,281122,Silicon dioxide,2019, World,              0.49,502,Kg
Cambodia,Export,281122,Silicon dioxide,2019, World,              0.35,203,Kg
Brunei,Export,281122,Silicon dioxide,2019, World,              0.24,2,Kg
Paraguay,Export,281122,Silicon dioxide,2019, World,              0.16,6,Kg
Ecuador,Export,281122,Silicon dioxide,2019, World,              0.16,,
