Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Brunei,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,          86815.52,135423,Kg
Afghanistan,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,          27125.56,6.75987e+007,Kg
Netherlands,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,          16019.33,1.50001e+007,Kg
Italy,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,           3900.87,1.05917e+008,Kg
Sweden,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            599.47,51216.8,Kg
European Union,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            543.47,155985,Kg
United Kingdom,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            395.19,155195,Kg
Myanmar,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            228.90,115350,Kg
Denmark,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            227.39,38818,Kg
Qatar,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            179.20,44832,Kg
Spain,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            116.67,915.06,Kg
Poland,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,            112.19,951,Kg
Singapore,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             75.95,580.174,Kg
Lao PDR,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             69.77,128100,Kg
Colombia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             56.75,4326.1,Kg
Ireland,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             54.25,26851,Kg
Angola,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             52.77,49984,Kg
Latvia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             43.19,188,Kg
Malaysia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             39.83,24800,Kg
Luxembourg,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             34.13,2999.85,Kg
Belgium,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             27.97,4428.22,Kg
Norway,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             21.10,123,Kg
"Gambia, The",Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             19.02,10035,Kg
Kuwait,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             18.41,7186,Kg
Namibia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             15.39,1432.41,Kg
Canada,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             15.26,26646,Kg
Cape Verde,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,             10.99,638,Kg
Sri Lanka,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              9.36,3871.04,Kg
Indonesia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              7.80,26000,Kg
Philippines,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              7.02,1.5,Kg
Finland,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              6.66,100,Kg
Slovak Republic,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              5.91,85,Kg
Tanzania,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              5.72,12371,Kg
Rwanda,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              5.53,3250,Kg
United States,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              4.36,405.68,Kg
Tunisia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              4.24,80,Kg
Brazil,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              4.12,124.236,Kg
Chile,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.97,5.91,Kg
Malawi,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.75,58,Kg
Uganda,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.27,1083,Kg
Hungary,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.09,63,Kg
Comoros,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.06,2074,Kg
"Congo, Rep.",Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              2.57,23.4,Kg
Armenia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              2.43,232,Kg
Portugal,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.77,110,Kg
Dominican Republic,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.71,350,Kg
Mozambique,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.50,562,Kg
Turkey,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.15,661,Kg
United Arab Emirates,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.05,14.9,Kg
Kazakhstan,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.05,22001,Kg
Romania,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.94,86,Kg
Costa Rica,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.84,2,Kg
Eswatini,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.76,30,Kg
