Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,281122,Silicon dioxide,2019, World,         309953.03,2.75468e+008,Kg
United States,Import,281122,Silicon dioxide,2019, World,         275028.25,1.09981e+008,Kg
Germany,Import,281122,Silicon dioxide,2019, World,         202893.06,1.34117e+008,Kg
China,Import,281122,Silicon dioxide,2019, World,         180749.91,7.44526e+007,Kg
Japan,Import,281122,Silicon dioxide,2019, World,         154841.10,1.59598e+008,Kg
France,Import,281122,Silicon dioxide,2019, World,         153502.78,,
"Korea, Rep.",Import,281122,Silicon dioxide,2019, World,         137528.04,8.77011e+007,Kg
Mexico,Import,281122,Silicon dioxide,2019, World,         114280.05,,
Vietnam,Import,281122,Silicon dioxide,2019, World,         103388.12,6.87607e+007,Kg
Italy,Import,281122,Silicon dioxide,2019, World,          84682.08,6.37831e+007,Kg
Poland,Import,281122,Silicon dioxide,2019, World,          83247.80,7.17232e+007,Kg
Russian Federation,Import,281122,Silicon dioxide,2019, World,          79996.36,6.73808e+007,Kg
Thailand,Import,281122,Silicon dioxide,2019, World,          75836.71,5.54903e+007,Kg
United Kingdom,Import,281122,Silicon dioxide,2019, World,          70516.66,,
Indonesia,Import,281122,Silicon dioxide,2019, World,          69111.57,6.69524e+007,Kg
Canada,Import,281122,Silicon dioxide,2019, World,          68003.71,6.32379e+007,Kg
Netherlands,Import,281122,Silicon dioxide,2019, World,          67473.30,3.75796e+007,Kg
Singapore,Import,281122,Silicon dioxide,2019, World,          58949.26,,
"Other Asia, nes",Import,281122,Silicon dioxide,2019, World,          57086.54,2.52948e+007,Kg
Saudi Arabia,Import,281122,Silicon dioxide,2019, World,          55802.59,6.10454e+007,Kg
India,Import,281122,Silicon dioxide,2019, World,          55601.36,7.02e+007,Kg
Brazil,Import,281122,Silicon dioxide,2019, World,          55574.56,3.82607e+007,Kg
Spain,Import,281122,Silicon dioxide,2019, World,          52745.03,3.08394e+007,Kg
Belgium,Import,281122,Silicon dioxide,2019, World,          51080.84,3.43596e+007,Kg
Czech Republic,Import,281122,Silicon dioxide,2019, World,          49525.42,,
Malaysia,Import,281122,Silicon dioxide,2019, World,          47843.15,3.57334e+007,Kg
Romania,Import,281122,Silicon dioxide,2019, World,          43802.24,3.39382e+007,Kg
Turkey,Import,281122,Silicon dioxide,2019, World,          41243.16,2.8032e+007,Kg
Slovak Republic,Import,281122,Silicon dioxide,2019, World,          38514.54,3.17095e+007,Kg
Hungary,Import,281122,Silicon dioxide,2019, World,          33831.91,2.48036e+007,Kg
United Arab Emirates,Import,281122,Silicon dioxide,2019, World,          32873.81,1.67165e+008,Kg
Switzerland,Import,281122,Silicon dioxide,2019, World,          29279.10,,
Austria,Import,281122,Silicon dioxide,2019, World,          28103.03,1.82315e+007,Kg
Portugal,Import,281122,Silicon dioxide,2019, World,          25526.90,2.19678e+007,Kg
South Africa,Import,281122,Silicon dioxide,2019, World,          19935.13,1.66124e+007,Kg
Australia,Import,281122,Silicon dioxide,2019, World,          19067.39,1.8864e+007,Kg
Slovenia,Import,281122,Silicon dioxide,2019, World,          18924.29,1.10498e+007,Kg
Colombia,Import,281122,Silicon dioxide,2019, World,          18372.27,,
Sweden,Import,281122,Silicon dioxide,2019, World,          18018.05,1.04878e+007,Kg
Philippines,Import,281122,Silicon dioxide,2019, World,          14561.79,1.24596e+007,Kg
"Egypt, Arab Rep.",Import,281122,Silicon dioxide,2019, World,          14434.87,5.44671e+007,Kg
Denmark,Import,281122,Silicon dioxide,2019, World,          14007.09,1.14684e+007,Kg
Argentina,Import,281122,Silicon dioxide,2019, World,          12306.45,8.93024e+006,Kg
Chile,Import,281122,Silicon dioxide,2019, World,          12228.24,1.06313e+007,Kg
"Serbia, FR(Serbia/Montenegro)",Import,281122,Silicon dioxide,2019, World,          11242.38,9.94609e+006,Kg
Pakistan,Import,281122,Silicon dioxide,2019, World,          10301.59,4.23196e+006,Kg
Luxembourg,Import,281122,Silicon dioxide,2019, World,          10281.42,8.63945e+006,Kg
"Hong Kong, China",Import,281122,Silicon dioxide,2019, World,           9694.17,5.66275e+006,Kg
Finland,Import,281122,Silicon dioxide,2019, World,           8551.75,15103.2,Kg
Peru,Import,281122,Silicon dioxide,2019, World,           6905.40,,
Sri Lanka,Import,281122,Silicon dioxide,2019, World,           6329.07,6.39915e+006,Kg
Norway,Import,281122,Silicon dioxide,2019, World,           6263.26,1.34987e+006,Kg
Ireland,Import,281122,Silicon dioxide,2019, World,           5604.55,1.06408e+006,Kg
Belarus,Import,281122,Silicon dioxide,2019, World,           5448.50,3.37294e+006,Kg
Nigeria,Import,281122,Silicon dioxide,2019, World,           5021.01,5.08796e+006,Kg
