Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Malaysia,Import,110311,Cereal groats and meal; of wheat,2019, World,          61387.01,2.25077e+008,Kg
France,Import,110311,Cereal groats and meal; of wheat,2019, World,          34686.60,7.03784e+007,Kg
Germany,Import,110311,Cereal groats and meal; of wheat,2019, World,          29727.84,5.86976e+007,Kg
Saudi Arabia,Import,110311,Cereal groats and meal; of wheat,2019, World,          27001.67,5.73668e+007,Kg
United States,Import,110311,Cereal groats and meal; of wheat,2019, World,          25952.17,5.15394e+007,Kg
Cote d'Ivoire,Import,110311,Cereal groats and meal; of wheat,2019, World,          17893.71,4.13705e+007,Kg
Poland,Import,110311,Cereal groats and meal; of wheat,2019, World,          16000.48,3.82263e+007,Kg
Belgium,Import,110311,Cereal groats and meal; of wheat,2019, World,          15958.57,4.02804e+007,Kg
Netherlands,Import,110311,Cereal groats and meal; of wheat,2019, World,          13114.05,7.2268e+007,Kg
Mali,Import,110311,Cereal groats and meal; of wheat,2019, World,          10419.57,2.53167e+007,Kg
Brazil,Import,110311,Cereal groats and meal; of wheat,2019, World,           9561.14,1.75969e+007,Kg
Tanzania,Import,110311,Cereal groats and meal; of wheat,2019, World,           9069.62,2.16044e+007,Kg
Guatemala,Import,110311,Cereal groats and meal; of wheat,2019, World,           8864.35,2.0726e+007,Kg
Senegal,Import,110311,Cereal groats and meal; of wheat,2019, World,           8047.61,2.3076e+007,Kg
"Egypt, Arab Rep.",Import,110311,Cereal groats and meal; of wheat,2019, World,           7027.47,,
Croatia,Import,110311,Cereal groats and meal; of wheat,2019, World,           6412.94,1.56168e+007,Kg
United Kingdom,Import,110311,Cereal groats and meal; of wheat,2019, World,           6215.74,9.9849e+006,Kg
Canada,Import,110311,Cereal groats and meal; of wheat,2019, World,           6171.22,7.037e+006,Kg
Angola,Import,110311,Cereal groats and meal; of wheat,2019, World,           5047.89,1.0868e+007,Kg
Denmark,Import,110311,Cereal groats and meal; of wheat,2019, World,           4901.65,8.93021e+006,Kg
United Arab Emirates,Import,110311,Cereal groats and meal; of wheat,2019, World,           4699.20,9.94706e+006,Kg
Philippines,Import,110311,Cereal groats and meal; of wheat,2019, World,           4668.39,,
Nigeria,Import,110311,Cereal groats and meal; of wheat,2019, World,           4591.76,2.82768e+006,Kg
Slovenia,Import,110311,Cereal groats and meal; of wheat,2019, World,           4375.28,1.17811e+007,Kg
Austria,Import,110311,Cereal groats and meal; of wheat,2019, World,           3948.62,5.27813e+006,Kg
Romania,Import,110311,Cereal groats and meal; of wheat,2019, World,           3665.68,1.16931e+007,Kg
Niger,Import,110311,Cereal groats and meal; of wheat,2019, World,           3266.88,7.3468e+006,Kg
European Union,Import,110311,Cereal groats and meal; of wheat,2019, World,           3166.75,5.97086e+006,Kg
Benin,Import,110311,Cereal groats and meal; of wheat,2019, World,           2906.16,7.95143e+006,Kg
Mauritania,Import,110311,Cereal groats and meal; of wheat,2019, World,           2861.22,6.99726e+006,Kg
Spain,Import,110311,Cereal groats and meal; of wheat,2019, World,           2355.27,8.29949e+006,Kg
"Hong Kong, China",Import,110311,Cereal groats and meal; of wheat,2019, World,           2191.29,3.16349e+006,Kg
Sweden,Import,110311,Cereal groats and meal; of wheat,2019, World,           2097.41,2.48175e+006,Kg
Myanmar,Import,110311,Cereal groats and meal; of wheat,2019, World,           1759.81,7.23622e+006,Kg
Ukraine,Import,110311,Cereal groats and meal; of wheat,2019, World,           1586.92,3.35522e+006,Kg
Bosnia and Herzegovina,Import,110311,Cereal groats and meal; of wheat,2019, World,           1508.88,4.12551e+006,Kg
Jordan,Import,110311,Cereal groats and meal; of wheat,2019, World,           1481.76,2.92228e+006,Kg
Switzerland,Import,110311,Cereal groats and meal; of wheat,2019, World,           1473.41,2.16892e+006,Kg
China,Import,110311,Cereal groats and meal; of wheat,2019, World,           1394.90,3.08992e+006,Kg
Kuwait,Import,110311,Cereal groats and meal; of wheat,2019, World,           1338.68,2.65922e+006,Kg
Jamaica,Import,110311,Cereal groats and meal; of wheat,2019, World,           1266.83,2.55052e+006,Kg
Portugal,Import,110311,Cereal groats and meal; of wheat,2019, World,           1199.96,4.39597e+006,Kg
Kazakhstan,Import,110311,Cereal groats and meal; of wheat,2019, World,           1194.51,2.43863e+006,Kg
"Serbia, FR(Serbia/Montenegro)",Import,110311,Cereal groats and meal; of wheat,2019, World,           1188.46,2.77682e+006,Kg
Israel,Import,110311,Cereal groats and meal; of wheat,2019, World,           1153.00,2.6632e+006,Kg
Belarus,Import,110311,Cereal groats and meal; of wheat,2019, World,           1148.80,3.19819e+006,Kg
Dominican Republic,Import,110311,Cereal groats and meal; of wheat,2019, World,           1077.76,1.32288e+006,Kg
Uzbekistan,Import,110311,Cereal groats and meal; of wheat,2019, World,           1062.37,2.01561e+006,Kg
Guyana,Import,110311,Cereal groats and meal; of wheat,2019, World,            994.58,1.47414e+006,Kg
Chile,Import,110311,Cereal groats and meal; of wheat,2019, World,            954.55,1.53456e+006,Kg
South Africa,Import,110311,Cereal groats and meal; of wheat,2019, World,            939.68,1.57821e+006,Kg
Russian Federation,Import,110311,Cereal groats and meal; of wheat,2019, World,            938.60,1.66383e+006,Kg
New Zealand,Import,110311,Cereal groats and meal; of wheat,2019, World,            911.61,1.1993e+006,Kg
Ecuador,Import,110311,Cereal groats and meal; of wheat,2019, World,            890.35,,
Kyrgyz Republic,Import,110311,Cereal groats and meal; of wheat,2019, World,            800.18,4.40464e+006,Kg
Uruguay,Import,110311,Cereal groats and meal; of wheat,2019, World,            742.24,1.47325e+006,Kg
Lithuania,Import,110311,Cereal groats and meal; of wheat,2019, World,            729.58,,
Occ.Pal.Terr,Import,110311,Cereal groats and meal; of wheat,2019, World,            704.11,1.58345e+006,Kg
Czech Republic,Import,110311,Cereal groats and meal; of wheat,2019, World,            672.34,1.09413e+006,Kg
Greece,Import,110311,Cereal groats and meal; of wheat,2019, World,            663.60,1.12485e+006,Kg
Luxembourg,Import,110311,Cereal groats and meal; of wheat,2019, World,            653.22,1.05362e+006,Kg
Italy,Import,110311,Cereal groats and meal; of wheat,2019, World,            648.16,1.14951e+006,Kg
Peru,Import,110311,Cereal groats and meal; of wheat,2019, World,            636.87,1.48091e+006,Kg
Azerbaijan,Import,110311,Cereal groats and meal; of wheat,2019, World,            594.16,1.33806e+006,Kg
Madagascar,Import,110311,Cereal groats and meal; of wheat,2019, World,            504.04,2.19504e+006,Kg
Georgia,Import,110311,Cereal groats and meal; of wheat,2019, World,            476.32,1.14073e+006,Kg
Lesotho,Import,110311,Cereal groats and meal; of wheat,2019, World,            427.78,247320,Kg
Australia,Import,110311,Cereal groats and meal; of wheat,2019, World,            415.36,445203,Kg
Ireland,Import,110311,Cereal groats and meal; of wheat,2019, World,            356.61,403088,Kg
Slovak Republic,Import,110311,Cereal groats and meal; of wheat,2019, World,            345.97,897335,Kg
Moldova,Import,110311,Cereal groats and meal; of wheat,2019, World,            332.51,798392,Kg
Mongolia,Import,110311,Cereal groats and meal; of wheat,2019, World,            306.72,798384,Kg
Colombia,Import,110311,Cereal groats and meal; of wheat,2019, World,            301.92,623581,Kg
Hungary,Import,110311,Cereal groats and meal; of wheat,2019, World,            263.47,256010,Kg
Bahrain,Import,110311,Cereal groats and meal; of wheat,2019, World,            262.04,439951,Kg
North Macedonia,Import,110311,Cereal groats and meal; of wheat,2019, World,            260.22,492764,Kg
Lebanon,Import,110311,Cereal groats and meal; of wheat,2019, World,            241.85,428932,Kg
Finland,Import,110311,Cereal groats and meal; of wheat,2019, World,            233.77,,
Norway,Import,110311,Cereal groats and meal; of wheat,2019, World,            210.69,185575,Kg
Mauritius,Import,110311,Cereal groats and meal; of wheat,2019, World,            204.88,416790,Kg
Bulgaria,Import,110311,Cereal groats and meal; of wheat,2019, World,            203.96,340688,Kg
Ethiopia(excludes Eritrea),Import,110311,Cereal groats and meal; of wheat,2019, World,            202.98,358402,Kg
St. Vincent and the Grenadines,Import,110311,Cereal groats and meal; of wheat,2019, World,            197.38,189798,Kg
Turkey,Import,110311,Cereal groats and meal; of wheat,2019, World,            192.88,297940,Kg
Estonia,Import,110311,Cereal groats and meal; of wheat,2019, World,            183.83,354004,Kg
Singapore,Import,110311,Cereal groats and meal; of wheat,2019, World,            180.06,237828,Kg
Montenegro,Import,110311,Cereal groats and meal; of wheat,2019, World,            170.83,358664,Kg
Bolivia,Import,110311,Cereal groats and meal; of wheat,2019, World,            165.83,328901,Kg
Thailand,Import,110311,Cereal groats and meal; of wheat,2019, World,            160.54,326918,Kg
Paraguay,Import,110311,Cereal groats and meal; of wheat,2019, World,            151.17,303154,Kg
Maldives,Import,110311,Cereal groats and meal; of wheat,2019, World,            150.68,88889.9,Kg
El Salvador,Import,110311,Cereal groats and meal; of wheat,2019, World,            146.92,352099,Kg
Latvia,Import,110311,Cereal groats and meal; of wheat,2019, World,            136.43,322656,Kg
"Other Asia, nes",Import,110311,Cereal groats and meal; of wheat,2019, World,            128.09,412228,Kg
Yemen,Import,110311,Cereal groats and meal; of wheat,2019, World,            125.35,717185,Kg
Qatar,Import,110311,Cereal groats and meal; of wheat,2019, World,            114.13,138413,Kg
Samoa,Import,110311,Cereal groats and meal; of wheat,2019, World,            113.38,55158,Kg
Namibia,Import,110311,Cereal groats and meal; of wheat,2019, World,            108.65,250952,Kg
Tajikistan,Import,110311,Cereal groats and meal; of wheat,2019, World,             99.81,178582,Kg
