,Event_Name,Day,Setup,Pre-Event,Event_Start,Event_End,Post-Event,Takedown,Location,Formal_Name,Exp_Head_Count,Act. Head Count,Reservation Name,Reference #,Event Type,Organization,date,Location1
2,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,AF TRACK,Alumni Field - Track,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,AF
3,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,AF TURF,Alumni Field - Turf,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,AF
4,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,HA 102,Harrington Auditorium - Main Floor,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,HA
5,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,RC COURT 1,Sports and Recreation Center - Court 1,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,RC
6,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,RC COURT 1-2,Sports and Recreation Center - Court 1 & 2 Jointly,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,RC
7,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,RC COURT 2,Sports and Recreation Center - Court 2,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,RC
138,Technichords Table Sitting,2/1/2022,10:00 AM,10:00 AM,10:00 AM,3:00 PM,3:00 PM,3:00 PM,CC INDOOR TABLE (4),Campus Center - Indoor Table #4,2,,,2022-ABNXWT,Student - Table Sitting,TECHNICORDS,1/2/2022,CC
183,AXiD - Bylaw Edits Office Hours,2/1/2022,11:00 AM,11:00 AM,11:00 AM,12:00 PM,12:00 PM,12:00 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,5,,,2022-ABNXPP,Student - Meeting,ALPHA XI DELTA,1/2/2022,CC
195,ISC Ski trip tablesitting,2/1/2022,11:00 AM,11:00 AM,11:00 AM,1:00 PM,1:00 PM,1:00 PM,CC INDOOR TABLE (6),Campus Center - Indoor Table #6,2,,,2022-ABPCGX,Student - Table Sitting,INTERNATIONAL STUDENT COUNCIL,1/2/2022,CC
196,What's Poppin',2/1/2022,11:00 AM,11:00 AM,11:00 AM,1:00 PM,1:00 PM,1:00 PM,CC INDOOR TABLE (2),Campus Center - Indoor Table #2,1,,,2022-ABPBGP,Table Sitting,STUDENT ACTIVITIES OFFICE,1/2/2022,CC
