Constellation,Number,HD,Mag,Lon,Lat
Phoenix,14,222287,6.07,-174.8663333,-45.36211111
Taurus,17,24769,6.05,120.7341667,23.17558333
Volans,2,55864,5.68,72.82358333,-69.50266667
Pegasus,13,210354,5.58,-152.307,33.1725
Mensa,4,32440,5.47,106.2035833,-73.063
Chamaeleon,6,93779,5.46,18.68175,-79.53047222
Hercules,17,157778,5.4,-80.92083333,37.14583333
Horologium,7,17051,5.4,139.3618333,-49.19916667
Horologium,6,16555,5.3,140.6489167,-51.45691667
Mensa,2,33285,5.3,104.3208333,-70.68566667
Horologium,5,16920,5.21,139.8350833,-53.45008333
Aries,6,18519,5.2,135.1970833,21.34027778
Scorpius,5,148479,5.2,-67.35083333,-25.56916667
Serpens,10,142860,5.2,-59.11245833,15.66472222
Sextans,4,90882,5.19,22.63029167,-1.260944444
Mensa,3,37763,5.18,97.03058333,-75.65833333
Phoenix,15,223145,5.18,-176.816625,-49.77358333
Crater,8,103632,5.17,0.995916667,-16.84919444
Delphinus,3,197963,5.15,-131.6619583,16.12461111
Libra,2,130819,5.15,-42.67191667,-14.00291667
Horologium,4,19319,5.12,134.09625,-58.26238889
Microscopium,5,197937,5.11,-132.1208333,-42.01172222
Octans,5,210967,5.09,-155.0061667,-79.56036111
Tucana,4,3003,5.09,171.8175417,-62.96861111
Circinus,4,131492,5.08,-44.18333333,-61.219
Mensa,1,43834,5.08,87.44083333,-73.24747222
Sextans,2,90994,5.08,22.42708333,0.636972222
Caelum,4,28873,5.07,112.29125,-43.04625
Centaurus,16,100261,5.07,7.058041667,-58.55794444
Sextans,3,85558,5.07,31.87304167,-7.895083333
Aquarius,25,214376,5.04,-159.43925,-3.77225
Caelum,2,29992,5.04,109.485625,-36.85522222
Piscis Austrinus,10,207155,5.02,-146.9340417,-29.10169444
Corona Australis,3,177475,4.99,-106.6045833,-36.93666667
Corona Borealis,7,143807,4.98,-60.36079167,29.85108333
Horologium,3,18866,4.98,135.3009583,-63.92869444
Aquarius,23,222345,4.97,-174.946,-13.77794444
Norma,7,146143,4.97,-64.25391667,-49.93188889
Phoenix,13,7570,4.97,161.2059583,-44.46791667
Reticulum,7,25728,4.97,119.6747083,-60.92094444
Fornax,4,16046,4.96,141.5387083,-27.76766667
Pisces,20,220825,4.95,-171.7329583,1.255833333
Ursa Minor,7,148048,4.95,-64.37708333,75.75469444
Piscis Austrinus,8,210302,4.94,-152.5353333,-31.45155556
Telescopium,5,190421,4.93,-121.8465417,-51.11919444
Microscopium,4,198232,4.89,-132.492,-32.22033333
Chamaeleon,5,104174,4.88,0.092958333,-77.77819444
Scutum,8,173009,4.88,-100.8801667,-7.72475
Telescopium,6,184127,4.88,-113.804125,-47.90088889
Aries,8,20150,4.87,131.2745417,21.04463889
Crux,1,108250,4.86,-6.62875,-62.8775
Draco,19,159560,4.86,-83.06616667,55.17280556
Sagittarius,35,174974,4.86,-103.5424167,-21.25516667
Sculptor,5,2429,4.86,173.017875,-32.99294444
Telescopium,4,175510,4.85,-104.6156667,-51.06138889
Pisces,19,9138,4.84,157.4544167,6.143944444
Crater,7,99167,4.81,8.847458333,-9.140611111
Eridanus,27,20320,4.8,131.0415417,-7.180166667
Microscopium,3,203006,4.8,-140.1899167,-39.1905
Aquarius,20,212571,4.8,-156.3192083,1.377388889
Grus,11,211088,4.79,-153.9036667,-40.65325
Aries,7,11973,4.79,150.5175833,23.59608333
Antlia,4,84367,4.78,33.94945833,-26.23044444
Octans,4,224889,4.78,179.600625,-76.93469444
Capricornus,12,193432,4.77,-125.165875,-11.24094444
Eridanus,26,17824,4.76,137.2402083,-20.99602778
Camelopardalis,6,42818,4.76,85.28841667,69.32002778
Vulpecula,7,180554,4.76,-109.0543333,21.39044444
Corona Australis,5,176638,4.74,-105.7784583,-41.905
Pisces,18,7964,4.74,160.1334167,27.26408333
Aquarius,21,198743,4.73,-133.163375,-7.01675
Norma,5,144197,4.73,-61.62258333,-44.82672222
Leo Minor,5,90277,4.72,23.521375,33.79625
Cetus,15,18604,4.71,135.07125,8.907388889
Crater,6,102070,4.71,3.809333333,-17.64938889
Dorado,6,33262,4.71,103.622125,-56.527
Microscopium,2,202627,4.71,-139.484375,-31.82752778
Scutum,5,172748,4.7,-100.5684167,-8.947444444
Crater,5,100889,4.7,5.829375,-8.19775
Horologium,2,18242,4.7,136.5295833,-48.10972222
Sagittarius,34,188376,4.7,-118.9592917,-25.70030556
Equuleus,3,201601,4.7,-137.5852917,10.13194444
Phoenix,11,221760,4.69,-173.768875,-41.38488889
Fornax,3,12767,4.68,148.877375,-28.70316667
Hydrus,6,11977,4.68,151.266625,-66.35252778
Apus,4,145366,4.68,-65.08683333,-77.30433333
Lepus,6,41695,4.67,88.461125,-13.06472222
Microscopium,1,199951,4.67,-135.32275,-31.74222222
Pisces,17,7318,4.67,161.56275,24.58377778
Scutum,6,170296,4.67,-97.299375,-13.43419444
Cancer,6,74198,4.66,49.17829167,21.46858333
Vulpecula,6,189849,4.66,-120.2750417,27.75355556
Dorado,7,40409,4.65,91.47541667,-62.90897222
Norma,4,143546,4.65,-60.80358333,-48.77027778
Eridanus,25,24587,4.64,121.5721667,-23.38777778
Orion,25,41117,4.64,89.02008333,20.13847222
Eridanus,24,25267,4.62,120.0188333,-23.98375
Serpens,15,175638,4.62,-104.0548333,4.203527778
Aries,4,11503,4.62,151.6175,19.29583333
Corona Australis,6,170845,4.62,-98.37566667,-41.68752778
Orion,24,36512,4.62,97.01725,-6.698472222
Lynx,7,58142,4.61,68.32141667,49.21163889
Pisces,15,11559,4.61,151.6110833,3.187472222
Hydra,13,87504,4.6,28.71879167,-12.93533333
Lyra,10,173607,4.6,-101.0949167,39.61258333
Monoceros,6,45725,4.6,82.79554167,-6.966944444
Antlia,3,94890,4.6,15.82083333,-36.86252778
Hercules,22,142373,4.6,-58.16745833,42.45
Camelopardalis,4,23401,4.59,122.4105,71.33236111
Corona Borealis,6,141714,4.59,-57.39875,26.06855556
Sculptor,4,223352,4.59,-177.2311667,-27.86997222
Corona Australis,4,177873,4.57,-107.0872083,-39.50336111
Eridanus,31,22663,4.57,125.7263333,-39.7255
Vulpecula,4,188260,4.57,-118.3653333,24.07952778
Hercules,21,148112,4.57,-66.353875,14.03341667
Reticulum,5,25422,4.56,120.3135833,-60.59986111
Caelum,3,32831,4.55,103.8987083,-34.51713889
Camelopardalis,5,49878,4.55,74.98395833,76.97744444
Lacerta,6,212593,4.55,-156.1291667,49.47638889
Lacerta,5,212120,4.55,-155.256375,46.53655556
Leo Minor,4,82635,4.54,36.44425,36.39761111
Andromeda,21,4727,4.53,167.5465417,41.07894444
Boötes,16,124675,4.53,-33.370625,51.79
Lacerta,8,213420,4.52,-157.6219167,43.12338889
Telescopium,3,166063,4.52,-92.80741667,-44.04566667
Antlia,2,82150,4.51,37.68858333,-34.04863889
Indus,5,197157,4.51,-131.009125,-50.07916667
Pisces,13,7106,4.51,162.0850417,30.08972222
Serpens,14,140159,4.51,-55.387875,19.6705
Aquarius,19,201381,4.5,-137.3982917,-10.62833333
Lacerta,7,214868,4.5,-160.12825,44.27627778
Lacerta,9,211073,4.5,-153.4695833,39.71488889
Piscis Austrinus,7,210049,4.5,-152.095625,-31.01161111
Puppis,12,61555,4.5,65.29216667,-25.19611111
Tucana,6,212581,4.5,-156.8327917,-63.03361111
Vulpecula,3,192806,4.5,-123.9423333,27.81422222
Boötes,14,120136,4.5,-26.81683333,17.45677778
Pictor,3,39523,4.5,92.54341667,-55.8335
Eridanus,23,29085,4.49,111.622375,-28.23416667
Leo Minor,3,87696,4.49,28.14279167,35.24469444
Pisces,12,222603,4.49,-175.512,1.780416667
Tucana,5,224686,4.49,-179.9787917,-64.42291667
Aquarius,18,222661,4.49,-175.6803333,-13.45525
Reticulum,4,25705,4.48,119.7757917,-61.84063889
Sextans,1,87887,4.48,28.01541667,0.371638889
Circinus,3,136415,4.48,-50.84441667,-58.67930556
Equuleus,2,202275,4.47,-138.6199583,10.00772222
Eridanus,22,17206,4.47,138.7250833,-17.42736111
Grus,10,209688,4.47,-151.52875,-38.45694444
Leo,20,81146,4.47,38.83633333,26.18244444
Aries,9,20644,4.47,129.915125,29.0485
Monoceros,8,46300,4.47,81.77404167,7.332972222
Orion,27,31767,4.47,105.3629167,1.714027778
Hydra,21,97277,4.46,12.08545833,-21.17438889
Norma,2,147971,4.46,-66.79604167,-46.44527778
Piscis Austrinus,6,216336,4.46,-163.1315,-31.12455556
Crater,4,97277,4.46,12.08545833,-21.17438889
Fornax,2,17652,4.45,137.7276667,-31.59372222
Hydra,19,73471,4.45,50.310625,3.341472222
Orion,23,42560,4.45,87.015,14.20880556
Pisces,11,10380,4.45,154.6420417,5.487611111
Caelum,1,29875,4.44,109.8590833,-40.13641667
Pisces,10,4656,4.44,167.8295833,7.585194444
Reticulum,3,27442,4.44,115.8788333,-58.69825
Vulpecula,2,183439,4.44,-112.1767083,24.66516667
Lynx,4,43378,4.44,85.09420833,59.01091667
Delphinus,5,197461,4.43,-130.8647917,15.07469444
Eridanus,20,23614,4.43,123.4645833,-11.89827778
Eridanus,21,26965,4.43,116.1765,-6.355444444
Boötes,9,129247,4.43,-40.28708333,13.72833333
Camelopardalis,8,31278,4.43,105.67825,53.75208333
Hydra,20,130694,4.42,-42.57279167,-26.03977778
Lacerta,2,212496,4.42,-155.8901667,52.2295
Orion,22,41753,4.42,88.107,14.76852778
Gemini,18,54719,4.41,72.21504167,30.24527778
Hercules,20,158899,4.41,-82.68458333,26.11061111
Sculptor,3,219784,4.41,-169.7059583,-31.46816667
Ursa Major,25,98231,4.41,10.45416667,31.52916667
Indus,3,208450,4.4,-149.4792917,-53.00744444
Pavo,10,174694,4.4,-104.2376667,-66.76647222
Andromeda,19,5516,4.4,165.6982083,23.41775
Camelopardalis,7,23475,4.39,122.619625,65.526
Indus,4,202730,4.39,-139.9661667,-52.55072222
Monoceros,7,44769,4.39,84.05791667,4.592833333
Phoenix,9,11695,4.39,151.58825,-45.69755556
Orion,21,39587,4.39,91.40383333,20.27641667
