Constellation,Number,HD,Mag,Lon,Lat
Andromeda,8,9927.0,3.59,155.50208333333333,48.6285
Andromeda,15,6811.0,4.26,162.6245,47.24183333333333
Andromeda,21,4727.0,4.53,167.54654166666666,41.078944444444446
Andromeda,11,5448.0,3.86,165.81208333333333,38.49925
Andromeda,5,6860.0,2.07,162.5675,35.62083333333334
Andromeda,7,3627.0,3.27,170.16833333333332,30.861222222222224
Andromeda,17,3369.0,4.34,170.77983333333333,33.71936111111111
Andromeda,16,222173.0,4.29,-174.53408333333334,43.26808333333333
Andromeda,14,222439.0,4.15,-175.10183333333333,44.33397222222222
Andromeda,18,3546.0,4.34,170.36041666666668,29.312361111111112
Andromeda,12,4502.0,4.08,168.16504166666667,24.26738888888889
Aquarius,7,213051.0,3.65,-157.20749999999998,0.0200555555555555
Aquarius,5,209750.0,2.95,-151.44595833333335,0.3198333333333333
Aquila,7,188512.0,3.71,-118.82820833333336,6.407944444444444
Aquila,1,187642.0,0.76,-117.6945,8.86738888888889
Aquila,2,186791.0,2.72,-116.56487499999996,10.613277777777778
Aquila,5,182640.0,3.36,-111.37395833333336,3.114583333333333
Aquila,3,177724.0,2.99,-106.35254166666664,13.863722222222222
Aquila,8,187929.0,3.87,-118.11816666666664,1.0056666666666667
Aquila,4,191692.0,3.24,-122.82608333333332,0.8214722222222222
Aries,3,17573.0,3.61,137.50420833333334,27.26077777777778
Aries,1,12929.0,2.01,148.207125,23.462777777777777
Aries,2,11636.0,2.64,151.34020833333332,20.80830555555556
Aries,6,18519.0,5.2,135.19708333333332,21.34027777777777
Auriga,10,40035.0,3.72,90.11854166666669,54.28497222222222
Auriga,5,40183.0,1.9,90.117625,44.94744444444444
Auriga,7,31398.0,2.69,105.75158333333331,33.16613888888889
Auriga,4,34029.0,0.08,100.82791666666668,45.999027777777776
Auriga,8,31964.0,3.03,104.50779166666666,43.82330555555556
Auriga,6,40312.0,2.62,90.06983333333334,37.21277777777778
Boötes,6,133208.0,3.49,-45.486625,40.39063888888889
Boötes,5,135722.0,3.46,-48.875416666666666,33.31511111111111
Boötes,2,129988.0,2.35,-41.24687499999999,27.074166666666667
Boötes,1,124897.0,-0.05,-33.918125,19.187277777777776
Boötes,3,121370.0,2.68,-28.671333333333337,18.39858333333333
Boötes,8,127665.0,3.57,-37.95775,30.37113888888889
Boötes,4,127762.0,3.04,-38.01983333333334,38.30788888888888
Boötes,12,125162.0,4.18,-34.09658333333334,46.08791666666667
Boötes,10,126660.0,4.04,-36.30008333333333,51.85172222222222
Camelopardalis,1,31910.0,4.03,104.14541666666666,60.442277777777775
Camelopardalis,3,30614.0,4.26,106.48745833333334,66.34266666666666
Camelopardalis,4,23401.0,4.59,122.4105,71.33236111111111
Camelopardalis,7,23475.0,4.39,122.619625,65.526
Camelopardalis,5,49878.0,4.55,74.98395833333333,76.97744444444444
Cancer,6,74198.0,4.66,49.17829166666667,21.46858333333333
Cancer,3,69267.0,3.53,55.87104166666667,9.185666666666666
Cancer,4,74442.0,3.94,48.82870833333334,18.15486111111111
Canes Venatici,7,109358.0,4.24,-8.437874999999991,41.35677777777778
Canis Minor,1,61421.0,0.34,65.17275,5.2275
Cassiopeia,7,11415.0,3.35,151.40133333333333,63.670138888888886
Cassiopeia,6,8538.0,2.68,158.5475,60.235416666666666
Cassiopeia,5,5394.0,2.47,165.82291666666666,60.716750000000005
Cassiopeia,3,3712.0,2.24,169.873375,56.537416666666665
Cepheus,3,222404.0,3.21,-174.83741666666668,77.63197222222222
Cepheus,6,216228.0,3.5,-162.42045833333333,66.20072222222223
Cepheus,7,213306.0,4.07,-157.29270833333334,58.415194444444445
Cepheus,4,210745.0,3.39,-152.71358333333336,58.20125
Cepheus,9,211336.0,4.18,-153.757,57.04347222222222
Cepheus,8,206936.0,4.23,-145.87687499999998,58.78005555555556
Cepheus,1,203280.0,2.45,-139.64408333333336,62.58544444444445
Cepheus,5,198149.0,3.41,-131.32195833333333,61.83680555555556
Cepheus,2,205021.0,3.23,-142.16491666666667,70.56069444444444
Cetus,5,16970.0,3.47,139.1745,3.236166666666666
Cetus,3,18884.0,2.54,134.43008333333333,4.089916666666666
Cetus,15,18604.0,4.71,135.07125,8.907388888888889
Cetus,13,17094.0,4.27,138.765125,10.114222222222224
