Constellation,Number,HD,Mag,Lon,Lat
Antlia,1,90610.0,4.28,23.211833333333345,-30.932194444444445
Antlia,2,82150.0,4.51,37.68858333333333,-34.04863888888889
Antlia,4,84367.0,4.78,33.949458333333325,-26.230444444444444
Apus,1,129078.0,3.83,-41.96554166666667,-78.95527777777778
Apus,2,147675.0,3.86,-68.36441666666667,-77.10302777777777
Apus,3,149324.0,4.23,-70.77258333333333,-76.48341666666667
Aquarius,14,219215.0,4.22,-168.58054166666665,-5.951472222222223
Aquarius,16,219449.0,4.24,-168.97199999999998,-8.912305555555555
Aquarius,23,222345.0,4.97,-174.94600000000003,-13.777944444444444
Aquarius,6,216627.0,3.27,-163.66266666666667,-14.17925
Aquarius,12,216032.0,4.05,-162.39795833333335,-12.40747222222222
Aquarius,8,216386.0,3.73,-163.15358333333336,-6.420333333333334
Aquarius,25,214376.0,5.04,-159.43925000000002,-3.77225
Aquarius,10,212061.0,3.86,-155.41375,-0.612638888888889
Aquarius,13,211391.0,4.17,-154.20820833333337,-6.21675
Aquarius,4,204867.0,2.9,-142.88966666666664,-4.428833333333333
Aquarius,19,201381.0,4.5,-137.3982916666667,-10.628333333333332
Aquarius,21,198743.0,4.73,-133.16337499999997,-7.01675
Aquarius,26,218594.0,3.68,-167.36149999999998,-20.827527777777775
Aquarius,27,220321.0,3.96,-170.74291666666664,-19.899666666666665
Aquila,10,184930.0,4.36,-114.18033333333337,-0.7134444444444444
Aquila,6,177756.0,3.43,-106.56229166666668,-3.1176666666666666
Ara,6,165024.0,3.65,-91.65783333333331,-49.90855555555555
Ara,2,158427.0,2.84,-82.96050000000002,-48.124027777777776
Ara,1,157244.0,2.84,-81.32499999999999,-54.47016666666667
Ara,4,157246.0,3.31,-81.34858333333335,-55.62230555555556
Ara,5,158094.0,3.6,-82.77491666666668,-59.316388888888895
Ara,7,151249.0,3.77,-72.44629166666667,-58.95869444444445
Ara,3,152786.0,3.12,-74.655125,-54.00994444444444
Caelum,3,32831.0,4.55,103.89870833333332,-34.51713888888889
Caelum,2,29992.0,5.04,109.485625,-36.855222222222224
Caelum,1,29875.0,4.44,109.85908333333332,-40.13641666666666
Canis Major,5,44743.0,1.98,84.32504166666666,-16.044083333333333
Canis Major,2,48915.0,-1.46,78.71145833333334,-15.286861111111111
Canis Major,11,51309.0,4.36,75.96570833333334,-16.94575
Canis Major,10,53244.0,4.12,74.06045833333333,-14.36675
Canis Major,9,50778.0,4.08,76.45216666666667,-11.961416666666668
Canis Major,4,54605.0,1.83,72.902125,-25.60680555555556
Canis Major,3,52089.0,1.5,75.34354166666667,-27.02791666666667
Capricornus,2,207098.0,2.85,-146.75954166666668,-15.873444444444443
Capricornus,5,206088.0,3.69,-145.02225,-15.33775
Capricornus,11,203387.0,4.27,-140.56158333333332,-15.165444444444445
Capricornus,7,200761.0,4.08,-136.48658333333333,-16.767277777777778
Capricornus,12,193432.0,4.77,-125.16587500000004,-11.240944444444445
Capricornus,4,192947.0,3.58,-124.51341666666669,-11.45513888888889
Capricornus,3,193495.0,3.05,-125.25270833333332,-13.21861111111111
Capricornus,9,197692.0,4.13,-131.52404166666668,-24.729472222222224
Capricornus,8,198542.0,4.12,-132.95541666666668,-25.08086111111111
Capricornus,6,204075.0,3.77,-141.66679166666663,-21.588611111111117
Carina,1,45348.0,-0.72,84.012125,-51.30427777777778
Carina,9,65575.0,3.46,60.80525,-51.01761111111111
Carina,3,71129.0,1.86,54.37141666666666,-58.49047222222222
Carina,5,93030.0,2.74,19.260708333333326,-63.60552777777778
Carina,7,89080.0,3.29,26.565499999999982,-69.96208333333334
Carina,2,80007.0,1.67,41.69900000000001,-68.28252777777777
Carina,10,91465.0,3.3,21.993833333333328,-60.314638888888894
Carina,11,89388.0,3.39,25.72912500000001,-60.66766666666666
Carina,12,84810.0,3.69,33.688208333333336,-61.49208333333333
Centaurus,11,120307.0,3.41,-27.37625,-40.312333333333335
Centaurus,6,127972.0,2.33,-38.87687500000001,-41.84225
Centaurus,7,121263.0,2.55,-28.885124999999988,-46.71172222222222
Centaurus,12,120324.0,3.47,-27.404208333333344,-41.52630555555555
Centaurus,4,110304.0,2.2,-10.379999999999995,-47.04011111111111
Centaurus,14,108483.0,3.91,-7.010041666666666,-49.76938888888888
Centaurus,8,105435.0,2.58,-2.0897500000000093,-49.27758333333333
Centaurus,1,128620.0,-0.01,-39.920416666666654,-59.16486111111111
Centaurus,5,118716.0,2.29,-24.971958333333333,-52.53363888888889
Centaurus,20,117440.0,3.9,-22.761124999999996,-38.59272222222222
Centaurus,9,115892.0,2.75,-20.150291666666675,-35.28791666666666
